	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
116-2	116	2009_ca_116_fruit_c.jpg	2	0.547451	87.5648	138.8353	58.2514	44.7118	86.1818	37.4267	37.7538	24.0629	32.5119	44.7702	
116-3	116	2009_ca_116_fruit_c.jpg	3	0.231399	92.869	138.2621	56.9056	44.7005	85.7683	37.0719	38.323	23.5504	31.5717	44.9809	
116-4	116	2009_ca_116_fruit_c.jpg	4	0.433842	80.7709	145.3327	61.1978	42.7643	88.3738	38.9822	38.7297	27.2278	35.108	47.3428	
116-5	116	2009_ca_116_fruit_c.jpg	5	0.245038	93.7363	141.9223	57.8162	46.0057	88.199	37.912	39.2901	24.0859	31.5094	46.0852	
116-6	116	2009_ca_116_fruit_c.jpg	6	0.636368	93.0901	142.6357	60.6226	48.1559	89.506	38.5604	38.2114	23.6577	31.7628	44.9422	
116-7	116	2009_ca_116_fruit_c.jpg	7	0.622049	71.8701	148.2459	73.7545	56.2329	95.971	42.1299	33.7238	23.8049	35.2175	41.2791	
117-1	117	2009_ca_117_fruit_c.jpg	1	0.833546	81.1272	149.894	67.7075	50.419	94.1732	41.0674	37.3835	25.8902	34.7048	45.4734	
117-2	117	2009_ca_117_fruit_c.jpg	2	0.642018	82.365	148.146	64.578	48.8895	92.5437	40.206	38.3279	25.6376	33.7786	46.112	
117-3	117	2009_ca_117_fruit_c.jpg	3	0.833219	73.85	153.1318	75.0912	57.6549	98.9207	43.1914	35.0657	24.6298	35.0838	42.8513	
117-4	117	2009_ca_117_fruit_c.jpg	4	0.564007	75.9464	150.088	67.7563	49.6243	93.7469	41.1239	37.3963	26.3172	35.1355	45.7283	
117-5	117	2009_ca_117_fruit_c.jpg	5	0.367018	82.3442	148.5832	65.904	51.4415	93.8497	40.6204	37.8147	24.6874	33.1386	45.16	
117-6	117	2009_ca_117_fruit_c.jpg	6	0.601604	79.8295	148.7221	67.7097	50.8837	93.8094	40.9168	36.9598	25.3827	34.48	44.8365	
117-7	117	2009_ca_117_fruit_c.jpg	7	0.54585	89.82	143.7369	58.2506	45.4038	88.8188	38.2627	39.6947	24.9667	32.1686	46.8935	
118-1	118	2009_ca_118_fruit_c.jpg	1	0.493556	96.113	143.6952	59.1319	50.1911	91.0059	38.4738	39.5937	22.4419	29.5448	45.5115	
118-2	118	2009_ca_118_fruit_c.jpg	2	0.302362	97.0573	141.0285	56.3184	47.9174	88.614	37.4489	39.943	22.2891	29.1625	45.7411	
118-3	118	2009_ca_118_fruit_c.jpg	3	0.40087	95.8711	138.1894	63.6442	54.1656	90.1106	38.5065	35.2483	19.8515	29.3878	40.454	
118-4	118	2009_ca_118_fruit_c.jpg	4	0.133829	92.157	145.5671	61.5957	49.1819	91.3628	39.198	39.0286	23.9109	31.4938	45.7707	
118-5	118	2009_ca_118_fruit_c.jpg	5	0.381228	88.134	147.7522	67.423	54.8309	95.0611	40.7306	37.0618	22.7727	31.5687	43.4992	
118-6	118	2009_ca_118_fruit_c.jpg	6	0.246875	97.7018	139.156	56.8188	48.384	87.9895	37.2258	38.9738	21.6723	29.0773	44.5942	
118-7	118	2009_ca_118_fruit_c.jpg	7	0.860234	82.6321	147.4151	70.7679	55.4826	95.2587	41.35	35.0585	23.1473	33.4347	42.0107	
118-8	118	2009_ca_118_fruit_c.jpg	8	0.307844	96.7941	142.791	61.368	54.6718	92.4038	38.7888	38.4464	20.094	27.5938	43.3808	
119-1	119	2009_ca_119_fruit_c.jpg	1	2.69476	64.4443	150.0847	82.1799	63.3318	100.2815	44.2526	30.0888	22.5151	36.807	37.5801	
119-2	119	2009_ca_119_fruit_c.jpg	2	8.74598	65.4785	157.4535	83.2768	62.096	103.1421	45.6078	32.4335	25.2814	37.9359	41.1227	
119-3	119	2009_ca_119_fruit_c.jpg	3	0.316534	95.7136	144.5355	60.4779	52.2813	92.2411	38.887	39.4003	21.7947	28.9497	45.0266	
119-4	119	2009_ca_119_fruit_c.jpg	4	0.354403	90.9962	140.7248	62.8057	52.8903	90.7764	38.7162	36.5904	21.0401	29.8996	42.2084	
119-5	119	2009_ca_119_fruit_c.jpg	5	3.22884	69.3518	140.05	74.6114	58.8452	93.4143	41.1157	29.9218	20.6626	34.6271	36.3629	
119-6	119	2009_ca_119_fruit_c.jpg	6	1.34358	95.0623	147.332	64.2008	55.732	95.2673	40.1567	38.6676	21.5448	29.1257	44.2647	
119-7	119	2009_ca_119_fruit_c.jpg	7	0.247229	90.8123	151.3019	79.4069	71.1882	104.3925	43.9916	33.0801	17.7509	28.2181	37.5418	
120-1	120	2009_ca_120_fruit_c.jpg	1	0.0988	95.2052	150.2592	65.5821	53.7937	95.6888	40.7599	39.0453	23.4664	31.0061	45.5545	
120-2	120	2009_ca_120_fruit_c.jpg	2	0.682489	91.6522	151.4813	74.0301	62.7664	100.5185	42.7913	35.4727	21.0794	30.7207	41.2632	
120-3	120	2009_ca_120_fruit_c.jpg	3	0.262959	95.6366	148.2782	66.428	56.0175	95.696	40.6657	37.9257	21.9811	30.0959	43.8352	
120-4	120	2009_ca_120_fruit_c.jpg	4	0.343492	90.638	158.0972	74.3071	61.9131	103.1703	43.8588	37.9038	23.1105	31.3712	44.3936	
120-5	120	2009_ca_120_fruit_c.jpg	5	0.659058	88.215	151.7029	72.096	59.3462	98.855	42.374	36.3501	22.4189	31.6641	42.7076	
120-6	120	2009_ca_120_fruit_c.jpg	6	0.381167	84.764	153.8339	71.1717	56.97	98.911	42.5106	37.4926	24.0818	32.713	44.5604	
120-7	120	2009_ca_120_fruit_c.jpg	7	0.42861	80.3049	153.9246	76.0645	60.1137	100.5299	43.466	35.118	23.4407	33.7224	42.2225	
120-8	120	2009_ca_120_fruit_c.jpg	8	0.182604	94.484	141.5383	57.4881	48.1134	88.6154	37.7969	39.5623	22.6055	29.7432	45.5652	
121-1	121	2009_ca_121_fruit_c.jpg	1	0.0470752	96.3987	144.3145	60.1949	49.0087	90.6542	38.7112	39.2632	23.44	30.8371	45.7278	
121-2	121	2009_ca_121_fruit_c.jpg	2	1.85768	76.6745	148.9284	78.0104	62.5924	99.3126	43.185	32.0501	21.6272	34.0113	38.6645	
121-3	121	2009_ca_121_fruit_c.jpg	3	0.226038	96.5686	139.5292	58.3952	50.2712	88.8175	37.6487	38.3676	21.1311	28.844	43.8018	
121-4	121	2009_ca_121_fruit_c.jpg	4	0.727722	89.5871	150.1235	64.9833	52.2486	94.9415	40.6907	39.0679	24.3904	31.9769	46.0564	
121-5	121	2009_ca_121_fruit_c.jpg	5	0.784095	94.4288	138.4645	56.1008	44.2277	85.7556	36.9258	38.8428	23.6638	31.3506	45.4834	
121-6	121	2009_ca_121_fruit_c.jpg	6	4.63219	70.4436	142.3384	72.8109	54.9592	92.6375	41.0496	31.6672	22.9027	35.8756	39.0813	
121-7	121	2009_ca_121_fruit_c.jpg	7	0.361446	95.7028	142.4787	62.447	52.6604	91.594	38.8868	37.5476	21.4986	29.7942	43.2667	
121-8	121	2009_ca_121_fruit_c.jpg	8	1.48021	64.9333	146.4943	77.7347	60.2579	97.0673	42.7536	30.9666	22.2444	35.6911	38.128	
122-1	122	2009_ca_122_fruit_c.jpg	1	0.632144	96.8901	138.6572	49.7488	41.6796	84.4884	35.8234	42.0496	23.7882	29.4976	48.312	
122-2	122	2009_ca_122_fruit_c.jpg	2	0.867782	95.7853	138.6004	53.7954	44.8941	85.9701	36.5514	40.1544	22.8077	29.5966	46.1798	
122-3	122	2009_ca_122_fruit_c.jpg	3	0.920069	90.0659	137.8659	58.3567	47.2172	86.6944	37.3414	37.4827	22.4112	30.8755	43.6717	
122-4	122	2009_ca_122_fruit_c.jpg	4	0.621406	97.2907	136.9623	50.0063	43.4968	84.5192	35.6449	41.3117	22.4564	28.5278	47.0207	
122-5	122	2009_ca_122_fruit_c.jpg	5	1.57947	88.032	120.7385	52.5808	42.2436	76.3994	33.3193	33.2402	19.5259	30.4307	38.5509	
122-6	122	2009_ca_122_fruit_c.jpg	6	0.838701	94.3011	130.6761	54.229	48.0027	83.4472	35.431	36.8967	19.2574	27.5613	41.6199	
122-7	122	2009_ca_122_fruit_c.jpg	7	1.2033	94.1437	131.6607	52.5611	43.5546	82.1253	35.1631	37.8809	21.553	29.6384	43.5832	
