	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
115-5	115	2010_ca_115_fruit_C.jpg	5	.	.	134.9092	65.1282	44.4468	84.4025	38.1064	32.0907	24.8682	37.7734	40.5985	data normalized to color checker
116-1	116	2010_ca_116_fruit_C.jpg	1	.	.	131.7463	65.0416	45.6809	83.4949	37.6219	30.789	23.4209	37.2599	38.6847	data normalized to color checker
116-2	116	2010_ca_116_fruit_C.jpg	2	.	.	126.8378	55.4726	41.6612	79.2914	34.8205	34.0741	22.0065	32.8561	40.5626	data normalized to color checker
116-3	116	2010_ca_116_fruit_C.jpg	3	.	.	135.9246	61.3523	42.2336	83.8351	37.4921	34.4847	25.4234	36.399	42.8432	data normalized to color checker
116-4	116	2010_ca_116_fruit_C.jpg	4	.	.	133.7557	63.9606	49.0317	86.0125	37.7388	32.6643	21.7073	33.6063	39.2195	data normalized to color checker
116-5	116	2010_ca_116_fruit_C.jpg	5	.	.	126.5342	59.3034	43.5915	80.0572	35.6022	31.8062	21.8613	34.5019	38.5947	data normalized to color checker
117-1	117	2010_ca_117_fruit_C.jpg	1	.	.	133.1063	71.5773	50.2621	86.2909	39.2866	27.8435	22.9696	39.5211	36.0952	data normalized to color checker
117-2	117	2010_ca_117_fruit_C.jpg	2	.	.	134.6699	69.6458	50.5345	87.1548	39.1063	29.7626	22.657	37.2804	37.4052	data normalized to color checker
117-3	117	2010_ca_117_fruit_C.jpg	3	.	.	131.8125	72.4908	47.0744	84.18	39.3081	26.4257	24.7633	43.1399	36.2151	data normalized to color checker
117-4	117	2010_ca_117_fruit_C.jpg	4	.	.	137.7727	66.9213	49.5777	88.1643	38.9879	32.6721	23.1973	35.3749	40.0697	data normalized to color checker
118-1	118	2010_ca_118_fruit_C.jpg	1	.	.	131.7977	69.0304	48.0693	84.6431	38.5209	28.5215	23.1941	39.1186	36.762	data normalized to color checker
118-2	118	2010_ca_118_fruit_C.jpg	2	.	.	127.7599	58.2676	43.2759	80.4866	35.5641	32.9482	22.0306	33.7684	39.635	data normalized to color checker
118-3	118	2010_ca_118_fruit_C.jpg	3	.	.	127.4354	67.2374	46.5086	81.8553	37.5077	27.5485	22.6277	39.3989	35.6502	data normalized to color checker
118-4	118	2010_ca_118_fruit_C.jpg	4	.	.	125.0861	52.6589	39.4563	77.4283	33.991	34.7751	22.2042	32.5587	41.2594	data normalized to color checker
120-1	120	2010_ca_120_fruit_C.jpg	1	.	.	140.6991	93.9589	55.6549	92.4015	45.5541	17.8231	28.2676	57.768	33.4173	data normalized to color checker
120-2	120	2010_ca_120_fruit_C.jpg	2	.	.	130.2301	75.545	54.4343	86.9001	39.8497	24.4409	21.2183	40.9628	32.3662	data normalized to color checker
120-3	120	2010_ca_120_fruit_C.jpg	3	.	.	116.6483	57.2579	43.2342	75.2202	33.5144	28.7751	19.0333	33.4827	34.5003	data normalized to color checker
120-4	120	2010_ca_120_fruit_C.jpg	4	.	.	125.9151	60.8742	47.1128	81.4213	35.8075	30.9468	20.0648	32.9579	36.8822	data normalized to color checker
120-5	120	2010_ca_120_fruit_C.jpg	5	.	.	124.8823	61.4425	47.5457	81.1408	35.782	30.201	19.7292	33.1551	36.0741	data normalized to color checker
122-1	122	2010_ca_122_fruit_C.jpg	1	.	.	135.8396	68.0974	46.7561	85.9271	38.8754	30.9373	24.5926	38.4819	39.521	data normalized to color checker
122-2	122	2010_ca_122_fruit_C.jpg	2	.	.	141.5568	87.1617	52.7704	91.4481	44.0388	22.2168	27.8903	51.4599	35.6574	data normalized to color checker
