Strain Id	Organization	Strain Type	Cultivation record	Sown seeds	Germinated　seeds	Total mutant	Total harvested seed	Plant Ontology ID	Germination rate(%)	Mutation rate(%)	First flowering date	First fruit harvesting date	Flower to fruit period	Growth Stage:Phenotype	link
TOMJPG2773	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40213	40213		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1134
TOMJPG2776	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		leaf production : Leaf morphology-Leaf width	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1077
TOMJPG2809	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		- : Plant size-Large plant	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1078
TOMJPG2824	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1079
TOMJPG2825	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000120,SP:0000053	0	0	40191	40191		germination : Seed-Seedling lethality, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1065
TOMJPG2827	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000052,SP:0000120	0	0	40191	40191		germination : Seed-Seedling lethality, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1066
TOMJPG2849	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000120,SP:0000053	0	0	40191	40191		germination : Seed-Slow germination, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1067
TOMJPG2852	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		- : Plant size-Large plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1081
TOMJPG2860	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000111	0	0	40198	40198		fruit : Fruit morphology-Long fruit	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1082
TOMJPG2884	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40198	40198		- : Plant size-Small plant, - : Plant habit-Internode length	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1083
TOMJPG2893	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0			0	0	40200	40200		fruit : Fruit morphology-Other fruit morphology, inflorescence : Inflorescence structure-Few flowers	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1090
TOMJPG2897	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000021,	0	0	40198	40198		- : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1084
TOMJPG2941	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000004,SP:0000021	0	0	40198	40198		leaf production : Leaf morphology-Other leaf morphology, - : Plant size-Extremely small	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1085
TOMJPG2977	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000120,SP:0000053	0	0	40198	40198		germination : Seed-Seedling lethality, leaf production : Leaf color-Yellow leaf	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1086
TOMJPG3017	University of Tsukuba	gamma irradiation-induced mutant lines		0	0	0		SP:0000021,SP:0000054	0	0	40199	40199		leaf production : Leaf color-Yellow-green leaf, - : Plant size-Extremely small, - : Plant habit-Aborted growth	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1088
TOMJPG3057	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	4ml（0.5ml）		60	16.7	40242	40242		- : Plant habit-Branching	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1279
TOMJPG3058	University of Tsukuba	gamma irradiation-induced mutant lines		1	0	0	2.0ml（0.4ml）	SP:0000044	62.5	20	40242	40242		leaf production : Leaf morphology-Leaf texture	http://tomatoma.nbrp.jp/strainDetailAction.do?mutantNo=1280
