	Tomato Analyzer - Shape Individual Data																																					
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness (20%)	  Distal Fruit Blockiness (80%)	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
8647-6	8647	2010_oh_8647_fruit-t.jpg	6	15.0082	15.809	4.3942	4.4704	4.2672	4.4196	0.9886	0.9711	0.8613	0.815	1.0567	0.9799	0.9791	0.5267	.	0.014	191.7748	111.7421	0.0208	177.6975	105.9291	0	0	0	0.1311	0.0136	0	0.0182	0.4749	0.7746	0.8933	0.8816	0.9853	0.4159	 
8647-7	8647	2010_oh_8647_fruit-t.jpg	7	14.5186	15.1548	4.4196	4.4958	4.191	4.2672	0.9492	0.9483	0.8218	0.8161	1.007	0.9872	0.9846	0.5129	.	0.0149	197.919	105.881	0.0217	170.989	111.9831	0	0	0.0569	0	0.0175	0.0091	0	0.4345	0.7784	0.8904	0.8784	0.942	0.4002	 
8647-8	8647	2010_oh_8647_fruit-t.jpg	8	14.9846	15.7542	4.3688	4.3942	4.2926	4.4196	1.0058	0.9826	0.9128	0.7674	1.1894	0.9706	0.9686	0.5269	.	0.0259	215.6207	119.3703	0.0295	161.89	96.9384	0	0	0	0.1925	0.0108	0	0.0443	0.4368	0.7746	0.8993	0.8816	0.9853	0.4139	 
8647-9	8647	2010_oh_8647_fruit-t.jpg	9	14.6141	14.7322	4.318	4.3434	4.1148	4.2672	0.9825	0.9529	0.8588	0.7824	1.0977	0.9783	0.9719	0.5007	.	0.0284	208.9716	109.8962	0.0377	175.8976	106.7358	0	0	0	0.1382	0.0262	0	0.0299	0.4489	0.7665	0.8889	0.8828	0.9552	0.4101	 
8648-1	8648	2010_oh_8648_fruit-t.jpg	1	19.3689	26.2567	5.0546	5.1054	6.2992	6.3754	1.2488	1.2462	0.8543	0.8342	1.0241	0.9745	0.927	0.5298	.	0.01	202.6158	88.2947	0.0182	171.3979	91.9893	0	0	0	0.062	0.0101	0	0.0165	0.5578	0.792	0.8919	0.8879	1.2532	0.3963	 
8648-2	8648	2010_oh_8648_fruit-t.jpg	2	18.4273	23.498	4.7752	4.8514	5.9436	6.1722	1.2723	1.2447	0.8883	0.7713	1.1517	0.9655	0.9221	0.493	.	0.0228	207.3374	96.1671	0.0695	168.3341	82.8886	0	0	0	0.1995	0.0307	0	0.0658	0.3909	0.7686	0.8942	0.8857	1.24	0.3984	 
8648-3	8648	2010_oh_8648_fruit-t.jpg	3	17.9418	21.9864	4.572	4.572	5.8166	5.9944	1.3111	1.2722	0.8333	0.8056	1.0345	0.9698	0.9091	0.5381	.	0.0212	210.7986	82.6924	0.0373	171.2605	81.1845	0	0	0.1	0	0.0178	0.0138	0	0.5	0.7745	0.8922	0.8835	1.2639	0.396	 
8648-4	8648	2010_oh_8648_fruit-t.jpg	4	18.7063	23.7251	4.5212	4.5466	6.4008	6.4262	1.4134	1.4157	0.8876	0.8258	1.0748	0.9651	0.8872	0.5311	.	0.0082	191.9637	76.4074	0.0068	175.8675	73.276	0	0	0	0.0929	0.0126	0	0.0171	0.5099	0.7937	0.8889	0.885	1.4085	0.3934	 
8648-5	8648	2010_oh_8648_fruit-t.jpg	5	18.4585	23.0741	4.445	4.4958	6.2484	6.3246	1.4068	1.4057	0.9257	0.8229	1.125	0.9597	0.8948	0.5403	.	0.0182	209.8572	91.58	0.0487	173.0393	76.114	0	0	0	0.1888	0.033	0	0.0482	0.3976	0.7903	0.8909	0.8869	1.4203	0.406	 
8648-6	8648	2010_oh_8648_fruit-t.jpg	6	18.3431	23.5735	5.0292	5.0292	5.8166	5.8928	1.1717	1.1566	0.8333	0.7778	1.0714	0.9759	0.9406	0.4915	.	0.0065	188.6	95.0253	0.0077	164.34	84.0856	0	0	0	0.1361	0.0282	0	0.0364	0.4612	0.7879	0.8922	0.8835	1.1519	0.3819	 
