Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
312	SCT_0226	2010	Mills River	NC	2	NC 7 P rep-8 (2006) - 96		
321	SCT_0227	2010	Mills River	NC	1	NC123S		
322	SCT_0227	2010	Mills River	NC	2	NC123S		
341	SCT_0230	2010	Mills River	NC	1	NC140		
342	SCT_0230	2010	Mills River	NC	2	NC140		
351	SCT_0231	2010	Mills River	NC	1	NC161L-1W(2007)		
352	SCT_0231	2010	Mills River	NC	2	NC161L-1W(2007)		
361	SCT_0232	2010	Mills River	NC	1	NC1CS		
362	SCT_0232	2010	Mills River	NC	2	NC1CS		
371	SCT_0233	2010	Mills River	NC	1	NC23E-2 (93)		
372	SCT_0233	2010	Mills River	NC	2	NC23E-2 (93)		
381	SCT_0234	2010	Mills River	NC	1	NC265-1(93)-3-4		
382	SCT_0234	2010	Mills River	NC	2	NC265-1(93)-3-4		
391	SCT_0235	2010	Mills River	NC	1	NC2C		
392	SCT_0235	2010	Mills River	NC	2	NC2C		
401	SCT_0236	2010	Mills River	NC	1	NC2Y		
402	SCT_0236	2010	Mills River	NC	2	NC2Y		
411	SCT_0237	2010	Mills River	NC	1	NC33EB-1		
412	SCT_0237	2010	Mills River	NC	2	NC33EB-1		
421	SCT_0238	2010	Mills River	NC	1	NC47NC2		
422	SCT_0238	2010	Mills River	NC	2	NC47NC2		
431	SCT_0239	2010	Mills River	NC	1	NC50-7		
432	SCT_0239	2010	Mills River	NC	2	NC50-7		
441	SCT_0240	2010	Mills River	NC	1	NC714-3B(2007)		
442	SCT_0240	2010	Mills River	NC	2	NC714-3B(2007)		
451	SCT_0241	2010	Mills River	NC	1	NC8276		
452	SCT_0241	2010	Mills River	NC	2	NC8276		
461	SCT_0242	2010	Mills River	NC	1	NC8288		
462	SCT_0242	2010	Mills River	NC	2	NC8288		
471	SCT_0243	2010	Mills River	NC	1	NC84173		
472	SCT_0243	2010	Mills River	NC	2	NC84173		
481	SCT_0244	2010	Mills River	NC	1	NC860-1(2008)		
482	SCT_0244	2010	Mills River	NC	2	NC860-1(2008)		
491	SCT_0245	2010	Mills River	NC	1	NC99471-3		
492	SCT_0245	2010	Mills River	NC	2	NC99471-3		
501	SCT_0246	2010	Mills River	NC	1	NCEBR-1		
502	SCT_0246	2010	Mills River	NC	2	NCEBR-1		
511	SCT_0247	2010	Mills River	NC	1	NCEBR-2		
512	SCT_0247	2010	Mills River	NC	2	NCEBR-2		
521	SCT_0248	2010	Mills River	NC	1	NCEBR-3		
522	SCT_0248	2010	Mills River	NC	2	NCEBR-3		
531	SCT_0249	2010	Mills River	NC	1	NCEBR-4		
532	SCT_0249	2010	Mills River	NC	2	NCEBR-4		
541	SCT_0250	2010	Mills River	NC	1	NCEBR-5		
542	SCT_0250	2010	Mills River	NC	2	NCEBR-5		
551	SCT_0251	2010	Mills River	NC	1	NCEBR-6		
552	SCT_0251	2010	Mills River	NC	2	NCEBR-6		
561	SCT_0252	2010	Mills River	NC	1	NCEBR-7		
562	SCT_0252	2010	Mills River	NC	2	NCEBR-7		
571	SCT_0253	2010	Mills River	NC	1	NCEBR-8		
572	SCT_0253	2010	Mills River	NC	2	NCEBR-8		
581	SCT_0254	2010	Mills River	NC	1	NCHS-1		
582	SCT_0254	2010	Mills River	NC	2	NCHS-1		
791	SCT_0255	2010	Mills River	NC	1	Ohio11		
792	SCT_0255	2010	Mills River	NC	2	Ohio11		
801	SCT_0256	2010	Mills River	NC	1	OhioMR13		
802	SCT_0256	2010	Mills River	NC	2	OhioMR13		
711	SCT_0257	2010	Mills River	NC	1	OR11		
712	SCT_0257	2010	Mills River	NC	2	OR11		
721	SCT_0258	2010	Mills River	NC	1	Oregon Spring		
