		Tomato Analyzer - Shape Individual Data																																					
	SCT # 	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height  (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro (2%)	  Proximal Angle Macro (20%)	  Proximal Indentation Area (cm2)	  Distal Angle Micro (2%)	  Distal Angle Macro (20%)	  Distal Indentation Area (cm2)	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	comment
unique#	sct#	Plot #	image files	Fruit	SP:0000087	SP:0000085	SP:0000133	SP:0000134	SP:0000135	SP:0000136	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154	SP:0000369	SP:0000370	SP:0000079	SP:0000155	SP:0000160	SP:0000076	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164	
91-1	SCT_0151	91	2010_nc_91_fruit-t.jpg	1	61.0988	215.9667	17.7546	17.8054	13.4874	14.8336	0.8331	0.7597	0.8856	0.8398	1.0545	0.872	0.9345	0.5694	0	0.0833	174.6	147.3	0.2168	184.5	119.7	0.0007	0	0.0776	0	7.4717	11.95	0	0.4579	0.7479	0.8862	0.9198	0.8015	0.4435	version 2
91-2	SCT_0151	91	2010_nc_91_fruit-t.jpg	2	58.064	215.9183	17.78	17.907	13.1064	15.113	0.844	0.7371	0.8943	0.8043	1.1119	0.8487	0.9307	0.5233	0	0.0989	225.2	144.7	0.2467	185	120.5	0.0188	0	0	0.1639	16.4226	0	17.2472	0.4455	0.697	0.898	0.8846	0.7419	0.4579	version 2
171-1	SCT_0159	171	2010_nc_171_fruit-t.jpg	1	64.7512	253.1698	18.5928	18.8722	15.8242	17.0942	0.9058	0.8511	0.9085	0.7514	1.2091	0.8844	0.9652	0.5293	1.2829	0.0568	132.9	138.9	0.2015	182.8	106.6	0.0009	0	0	0.1861	9.1295	0	26.4394	0.4482	0.756	0.9137	0.8881	0.8819	0.4144	version 2
171-2	SCT_0159	171	2010_nc_171_fruit-t.jpg	2	61.5654	237.2544	16.0274	16.5354	17.145	18.669	1.129	1.0697	0.9429	0.691	1.3647	0.8732	0.9568	0.4975	1.009	0.0424	202.9	117	0.1519	178.9	81.8	0	0	0	0.2405	9.5695	0	38.78	0.407	0.7629	0.9318	0.8903	1.129	0.4068	version 2
171-3	SCT_0159	171	2010_nc_171_fruit-t.jpg	3	62.3129	249.9137	18.1864	18.3134	15.4178	17.272	0.9431	0.8478	0.9064	0.7472	1.2131	0.8716	0.9756	0.5385	0	0.103	253.1	139.3	0.2298	192.1	104.4	0.0027	0	0	0.2057	9.1193	0	27.975	0.4529	0.7187	0.8921	0.8905	0.8592	0.438	version 2
171-4	SCT_0159	171	2010_nc_171_fruit-t.jpg	4	59.5258	219.155	17.0688	17.2212	15.0876	16.1036	0.9351	0.8839	0.9271	0.7128	1.3006	0.9126	0.9749	0.5187	1.1954	0.052	271.7	136.5	0.0998	164	104.1	0	0	0	0.2252	2.4297	0	28.3708	0.4326	0.7267	0.8915	0.8696	0.8984	0.4555	version 2
171-5	SCT_0159	171	2010_nc_171_fruit-t.jpg	5	62.9689	247.6331	17.1704	17.526	16.9926	18.7198	1.0681	0.9896	0.9393	0.6317	1.4871	0.8369	0.9703	0.4926	1.4399	0.0638	204.1	133.8	0.2008	169.4	89.6	0	0	0	0.2547	5.1793	0	45.0842	0.4342	0.7147	0.8885	0.8738	0.9925	0.4296	version 2
181-1	SCT_0160	181	2010_nc_181_fruit-t.jpg	1	69.3489	303.6587	22.098	22.1742	14.7828	17.145	0.7732	0.669	0.8851	0.7931	1.1159	0.8597	0.894	0.5453	0	0.1222	232.6	155.2	0.2466	177.9	124.4	0.0001	0	0	0.1482	6.9036	0	20.1227	0.477	0.6884	0.8889	0.8872	0.6667	0.4611	version 2
181-2	SCT_0160	181	2010_nc_181_fruit-t.jpg	2	61.1758	244.7982	18.7452	18.923	14.3002	16.3322	0.8631	0.7629	0.9011	0.7656	1.177	0.8558	0.9467	0.4971	1.9006	0.0876	229.8	145.6	0.1889	191.4	115.8	0	0	0	0.1923	18.053	0	22.6868	0.4495	0.6978	0.8854	0.8836	0.7593	0.4529	version 2
181-3	SCT_0160	181	2010_nc_181_fruit-t.jpg	3	70.1251	315.1465	21.0058	21.3868	16.4084	18.6182	0.8705	0.7811	0.9456	0.7364	1.2841	0.838	0.9472	0.5291	0	0.1217	249.1	155.9	0.2084	5.7	109.1	0.0035	0	0	0.26	8.5806	0	37.063	0.3861	0.7049	0.8912	0.8897	0.7818	0.4524	version 2
181-4	SCT_0160	181	2010_nc_181_fruit-t.jpg	4	55.778	200.5228	17.1958	17.399	13.081	14.732	0.8467	0.7607	0.9069	0.7533	1.2039	0.8674	0.9379	0.5238	0	0.1043	217.1	147	0.2227	183.4	117.5	0.0013	0	0	0.1904	6.285	0	23.4927	0.449	0.7116	0.8976	0.886	0.7658	0.4399	version 2
181-5	SCT_0160	181	2010_nc_181_fruit-t.jpg	5	63.8018	265.9491	20.1168	20.2946	14.605	16.1036	0.7935	0.726	0.9343	0.7563	1.2354	0.8667	0.9174	0.5255	0	0.0999	222.4	158.6	0.1734	191.2	117.5	0.0019	0	0	0.2239	9.0964	0	25.6228	0.429	0.7235	0.8893	0.8859	0.7247	0.4485	version 2
