	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
121-4	121	2010_ca_121_fruit_C.jpg	4	0.8831	0.4462	0.2546	
121-5	121	2010_ca_121_fruit_C.jpg	5	1.8144	0.4434	0.2519	
122-1	122	2010_ca_122_fruit_C.jpg	1	1.4679	0.4414	0.2496	
122-2	122	2010_ca_122_fruit_C.jpg	2	1.0413	0.4414	0.2495	
122-3	122	2010_ca_122_fruit_C.jpg	3	2.2252	0.442	0.251	
122-4	122	2010_ca_122_fruit_C.jpg	4	0.9059	0.4395	0.25	
122-5	122	2010_ca_122_fruit_C.jpg	5	1.3057	0.4363	0.2512	
123-1	123	2010_ca_123_fruit_C.jpg	1	0.9974	0.4443	0.2528	
123-2	123	2010_ca_123_fruit_C.jpg	2	0.9845	0.4446	0.256	
123-3	123	2010_ca_123_fruit_C.jpg	3	1.6901	0.4451	0.254	
123-4	123	2010_ca_123_fruit_C.jpg	4	2.1037	0.4454	0.2516	
123-5	123	2010_ca_123_fruit_C.jpg	5	1.1165	0.445	0.25	
124-6	124	2010_ca_124-001_fruit_C.jpg	6	0.9545	0.4415	0.2492	
124-7	124	2010_ca_124-001_fruit_C.jpg	7	1.193	0.4404	0.2463	
124-8	124	2010_ca_124-001_fruit_C.jpg	8	1.7658	0.4407	0.2504	
124-9	124	2010_ca_124-001_fruit_C.jpg	9	1.7791	0.4397	0.2516	
124-10	124	2010_ca_124-001_fruit_C.jpg	10	2.2024	0.4399	0.2474	
124-1	124	2010_ca_124_fruit_C.jpg	1	0.9437	0.4413	0.25	
124-2	124	2010_ca_124_fruit_C.jpg	2	1.2106	0.4403	0.2496	
124-3	124	2010_ca_124_fruit_C.jpg	3	1.7359	0.4412	0.2508	
124-4	124	2010_ca_124_fruit_C.jpg	4	1.7976	0.4396	0.2512	
124-5	124	2010_ca_124_fruit_C.jpg	5	2.4634	0.4399	0.2474	
125-1	125	2010_ca_125_fruit_C.jpg	1	0.9697	0.4402	0.2516	
125-2	125	2010_ca_125_fruit_C.jpg	2	1.5783	0.441	0.2508	
125-3	125	2010_ca_125_fruit_C.jpg	3	1.5286	0.4416	0.2482	
125-4	125	2010_ca_125_fruit_C.jpg	4	0.5767	0.4418	0.2514	
125-5	125	2010_ca_125_fruit_C.jpg	5	1.2244	0.4405	0.2508	
126-1	126	2010_ca_126_fruit_C.jpg	1	3.4794	0.4406	0.247	
126-2	126	2010_ca_126_fruit_C.jpg	2	0.667	0.4409	0.2522	
126-3	126	2010_ca_126_fruit_C.jpg	3	2.4105	0.4423	0.2537	
126-4	126	2010_ca_126_fruit_C.jpg	4	1.4534	0.4423	0.2521	
126-5	126	2010_ca_126_fruit_C.jpg	5	1.597	0.439	0.2497	
127-1	127	2010_ca_127_fruit_C.jpg	1	0.8261	0.442	0.2486	
127-2	127	2010_ca_127_fruit_C.jpg	2	1.4496	0.4411	0.248	
127-3	127	2010_ca_127_fruit_C.jpg	3	1.7753	0.4413	0.2491	
127-4	127	2010_ca_127_fruit_C.jpg	4	0.8364	0.4417	0.2514	
127-5	127	2010_ca_127_fruit_C.jpg	5	1.523	0.4412	0.2492	
128-1	128	2010_ca_128_fruit_C.jpg	1	3.8578	0.4402	0.2485	
128-2	128	2010_ca_128_fruit_C.jpg	2	1.4891	0.4432	0.2512	
128-3	128	2010_ca_128_fruit_C.jpg	3	0.8538	0.4422	0.251	
128-4	128	2010_ca_128_fruit_C.jpg	4	1.1709	0.4417	0.2514	
128-5	128	2010_ca_128_fruit_C.jpg	5	0.8812	0.4416	0.2513	
129-1	129	2010_ca_129_fruit_C.jpg	1	0.9783	0.4397	0.2521	
129-2	129	2010_ca_129_fruit_C.jpg	2	2.729	0.4395	0.2433	
129-3	129	2010_ca_129_fruit_C.jpg	3	2.2187	0.4424	0.2518	
129-4	129	2010_ca_129_fruit_C.jpg	4	0.9945	0.4433	0.2512	
129-5	129	2010_ca_129_fruit_C.jpg	5	1.8995	0.444	0.2526	
130-1	130	2010_ca_130_fruit_C.jpg	1	1.0095	0.4455	0.2534	
130-2	130	2010_ca_130_fruit_C.jpg	2	2.6051	0.4443	0.2543	
130-3	130	2010_ca_130_fruit_C.jpg	3	0.9157	0.443	0.2525	
130-4	130	2010_ca_130_fruit_C.jpg	4	1.837	0.4443	0.2507	
130-5	130	2010_ca_130_fruit_C.jpg	5	2.3849	0.4433	0.2506	
131-1	131	2010_ca_131_fruit_C.jpg	1	1.9843	0.4428	0.2518	
131-2	131	2010_ca_131_fruit_C.jpg	2	2.4326	0.4375	0.2517	
131-3	131	2010_ca_131_fruit_C.jpg	3	1.0802	0.4416	0.2518	
131-4	131	2010_ca_131_fruit_C.jpg	4	1.784	0.4406	0.2508	
131-5	131	2010_ca_131_fruit_C.jpg	5	1.1199	0.442	0.2533	
132-1	132	2010_ca_132_fruit_C.jpg	1	0.8868	0.4425	0.2527	
132-2	132	2010_ca_132_fruit_C.jpg	2	1.2986	0.4422	0.252	
132-3	132	2010_ca_132_fruit_C.jpg	3	0.5829	0.4457	0.2544	
132-4	132	2010_ca_132_fruit_C.jpg	4	2.5222	0.4424	0.249	
132-5	132	2010_ca_132_fruit_C.jpg	5	0.6417	0.444	0.2507	
133-1	133	2010_ca_133_fruit_C.jpg	1	0.8333	0.4436	0.2506	
133-2	133	2010_ca_133_fruit_C.jpg	2	0.67	0.4429	0.2528	
133-3	133	2010_ca_133_fruit_C.jpg	3	0.7659	0.4432	0.2519	
133-4	133	2010_ca_133_fruit_C.jpg	4	0.6345	0.4432	0.2552	
133-5	133	2010_ca_133_fruit_C.jpg	5	0.9079	0.4437	0.2531	
134-1	134	2010_ca_134_fruit_C.jpg	1	0.9224	0.443	0.2535	
134-2	134	2010_ca_134_fruit_C.jpg	2	1.4754	0.4415	0.2518	
134-3	134	2010_ca_134_fruit_C.jpg	3	1.3579	0.4406	0.251	
134-4	134	2010_ca_134_fruit_C.jpg	4	1.4761	0.4425	0.2489	
134-5	134	2010_ca_134_fruit_C.jpg	5	0.9873	0.4398	0.2525	
135-1	135	2010_ca_135_fruit_C.jpg	1	2.2113	0.4424	0.2474	
135-2	135	2010_ca_135_fruit_C.jpg	2	1.4846	0.4407	0.2509	
136-6	136	2010_ca_136-001_fruit_C.jpg	6	2.0164	0.4466	0.251	
136-7	136	2010_ca_136-001_fruit_C.jpg	7	2.3875	0.4454	0.25	
136-8	136	2010_ca_136-001_fruit_C.jpg	8	0.5116	0.4449	0.2531	
136-9	136	2010_ca_136-001_fruit_C.jpg	9	2.2721	0.4454	0.254	
136-10	136	2010_ca_136-001_fruit_C.jpg	10	1.4848	0.4456	0.2533	
136-1	136	2010_ca_136_fruit_C.jpg	1	2.0387	0.4469	0.251	
136-2	136	2010_ca_136_fruit_C.jpg	2	2.394	0.445	0.25	
136-3	136	2010_ca_136_fruit_C.jpg	3	0.5178	0.4449	0.2531	
136-4	136	2010_ca_136_fruit_C.jpg	4	2.2713	0.4453	0.2556	
136-5	136	2010_ca_136_fruit_C.jpg	5	1.5011	0.4455	0.2533	
137-1	137	2010_ca_137_fruit_C.jpg	1	1.1053	0.4431	0.2471	
137-2	137	2010_ca_137_fruit_C.jpg	2	1.4745	0.4456	0.2517	
138-1	138	2010_ca_138_fruit_C.jpg	1	1.4357	0.4431	0.2518	
138-2	138	2010_ca_138_fruit_C.jpg	2	2.6325	0.4433	0.2531	
138-3	138	2010_ca_138_fruit_C.jpg	3	3.6364	0.4437	0.2432	
138-4	138	2010_ca_138_fruit_C.jpg	4	1.3997	0.4431	0.2494	
138-5	138	2010_ca_138_fruit_C.jpg	5	1.1099	0.4431	0.2512	
139-1	139	2010_ca_139-001_fruit_C.jpg	1	0.4426	0.4482	0.2544	
139-10	139	2010_ca_139-001_fruit_C.jpg	10	1.7977	0.4508	0.253	
139-2	139	2010_ca_139-001_fruit_C.jpg	2	1.3267	0.4478	0.25	
139-3	139	2010_ca_139-001_fruit_C.jpg	3	0.8706	0.4474	0.2551	
139-4	139	2010_ca_139-001_fruit_C.jpg	4	1.7561	0.4485	0.2545	
