	Tomato Analyzer - Shape Individual Data																																								
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro	  Proximal Angle Macro	  Proximal Indentation Area	  Distal Angle Micro	  Distal Angle Macro	  Distal Indentation Area	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments			
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164				
344-6	344	2009_nc_344_fruit-t.jpg	6	12.0237	9.4471	2.9972	2.9972	3.7592	3.8608	1.2881	1.2542	0.8475	0.822	1.0309	0.9792	0.9305	0.545	0.532	0.0203	203.5367	84.5089	0.0231	181.153	87.8635	0	0	0	0.1059	0.4834	0	1.0342	0.4941	0.7815	0.9008	0.8872	1.2826	0.4177				 
344-7	344	2009_nc_344_fruit-t.jpg	7	10.9544	7.4335	2.6162	2.6416	3.4544	3.5052	1.3269	1.3204	0.8641	0.835	1.0349	0.9774	0.9258	0.533	0.3241	0.0099	183.2926	86.2913	0.0018	163.2527	85.9904	0	0	0	0.108	0.5766	0	1.0291	0.5064	0.7518	0.8729	0.8583	1.2561	0.4243				 
344-8	344	2009_nc_344_fruit-t.jpg	8	11.2679	8.1077	2.8194	2.8194	3.429	3.5052	1.2432	1.2162	0.8559	0.8559	1	0.9769	0.942	0.5446	0	0	190.1641	90.1526	0	173.95	95.3406	0	0	0.1204	0	1.2993	0.1909	0	0.5065	0.7883	0.8926	0.8852	1.2273	0.406				 
344-9	344	2009_nc_344_fruit-t.jpg	9	12.1797	8.8516	2.921	2.9464	3.8354	3.8862	1.319	1.313	0.9043	0.8087	1.1183	0.9581	0.9206	0.5504	0.2932	0.0075	196.4096	89.3942	0.0068	169.4829	79.2236	0	0	0	0.1695	1.6711	0	2.7565	0.4451	0.7632	0.8855	0.8593	1.2889	0.4024				 
345-1	345	2009_nc_345_fruit-t.jpg	1	15.1061	15.0729	5.0292	5.08	3.3274	3.5814	0.705	0.6616	0.8939	0.8485	1.0536	0.8967	0.8563	0.577	1.7719	0.0816	204.74	158.8943	0.1467	172.8795	139.5406	0	0	0	0.1588	1.55	0	2.3518	0.4326	0.7429	0.8814	0.8889	0.6582	0.4476				 
345-2	345	2009_nc_345_fruit-t.jpg	2	17.2531	18.6342	5.8166	5.842	3.3782	3.9624	0.6783	0.5808	0.8908	0.821	1.0851	0.8211	0.7913	0.5576	0	0.109	197.8792	166.4696	0.2465	190.6875	146.0653	0.0038	0	0	0.1368	4.2645	0	3.7162	0.4487	0.671	0.8889	0.8739	0.5714	0.4853				 
345-3	345	2009_nc_345_fruit-t.jpg	3	16.428	17.4303	5.5372	5.588	3.3274	3.7338	0.6682	0.6009	0.8945	0.8486	1.0541	0.845	0.8009	0.5938	1.6581	0.0763	201.4466	163.331	0.2286	187.414	143.4855	0.0007	0	0	0.1325	1.1712	0	2.4566	0.4626	0.7123	0.8889	0.8889	0.5977	0.4739				 
345-4	345	2009_nc_345_fruit-t.jpg	4	16.1725	15.9303	5.2324	5.2578	3.3782	3.7592	0.715	0.6456	0.9029	0.8107	1.1138	0.8988	0.8496	0.5484	0.9746	0.0421	194.2114	153.3908	0.1336	193.6931	137.2873	0.0032	0	0	0.1314	2.9796	0	2.8738	0.4884	0.7211	0.8908	0.8833	0.6709	0.4673				 
345-5	345	2009_nc_345_fruit-t.jpg	5	15.8862	14.5303	5.0292	5.1054	3.048	3.556	0.6965	0.6061	0.904	0.8182	1.1049	0.8342	0.8212	0.5795	1.6743	0.0768	215.0156	161.7025	0.2306	196.0421	139.4629	0	0	0	0.1527	2.2374	0	2.97	0.4659	0.705	0.8991	0.9074	0.6533	0.4874				 
345-6	345	2009_nc_345_fruit-t.jpg	6	14.7146	14.4071	4.9276	4.953	3.1242	3.4798	0.7026	0.634	0.8814	0.8505	1.0364	0.8815	0.8445	0.59	1.6944	0.0781	206.6262	150.0724	0.1785	194.7609	145.0824	0	0	0	0.1274	0.6324	0	1.0103	0.4672	0.7059	0.8889	0.8727	0.6234	0.48				 
346-1	346	2009_nc_346_fruit-t.jpg	1	18.0496	20.7812	6.0452	6.0706	3.6068	4.1656	0.6862	0.5966	0.8866	0.8529	1.0394	0.8239	0.817	0.5891	0	0.1	228.0718	160.3853	0.2732	189.7959	138.1286	0.0137	0	0	0.1185	1.5153	0	2.7353	0.4634	0.6871	0.8889	0.8819	0.5895	0.4811				 
346-2	346	2009_nc_346_fruit-t.jpg	2	17.2752	18.5322	5.6134	5.6388	3.6576	4.191	0.7432	0.6516	0.8235	0.8824	0.9333	0.7456	0.8183	0.5238	0	0.0634	220.035	156.833	0.2698	184.6452	150.4917	0.001	0	0.1812	0	8.3963	6.5566	0	0.5202	0.6951	0.8837	0.8837	0.6477	0.4514				 
346-3	346	2009_nc_346_fruit-t.jpg	3	18.2066	18.8051	6.0198	6.0452	3.048	3.81	0.6303	0.5063	0.8987	0.8439	1.065	0.7508	0.7239	0.5864	0	0.1241	245.011	175.4975	0.3925	185.451	148.1096	0.0031	0	0	0.1448	2.8658	0	3.5992	0.462	0.698	0.972	0.8739	0.5652	0.4844				 
346-4	346	2009_nc_346_fruit-t.jpg	4	17.15	17.2974	5.588	5.6134	3.1242	3.7846	0.6742	0.5591	0.9136	0.85	1.0749	0.756	0.7763	0.5902	0	0.0957	234.4211	175.8213	0.3809	191.2623	144.1405	0.0004	0	0	0.1337	2.0811	0	3.6409	0.4639	0.6486	0.8807	0.8649	0.5517	0.5107				 
346-5	346	2009_nc_346_fruit-t.jpg	5	18.0075	19.1329	6.096	6.096	2.794	3.8608	0.6333	0.4583	0.8792	0.9125	0.9635	0.6243	0.6227	0.6154	0	0.1327	221.4499	176.1963	0.4814	217.7414	164.0951	0.0749	0	0.1825	0	6.0596	5.4812	0	0.5197	0.5828	0.898	0.8889	0.4583	0.5525				 
346-6	346	2009_nc_346_fruit-t.jpg	6	20.3536	23.9154	6.9596	6.9596	3.2258	4.445	0.6387	0.4635	0.8467	0.8723	0.9707	0.633	0.6368	0.5466	0	0.1625	236.5298	176.2239	0.4372	221.4113	158.5123	0.1521	0	0.1461	0	9.3391	5.8718	0	0.4971	0.5747	0.8929	0.8772	0.4587	0.5381				 
347-1	347	2009_nc_347_fruit-t.jpg	1	17.0067	16.0755	5.1816	5.2324	3.0988	3.7338	0.7136	0.598	0.9167	0.8284	1.1065	0.8042	0.8422	0.5784	0	0.0943	252.0182	160.2819	0.2558	186.7576	131.8019	0.004	0	0	0.146	1.9932	0	3.8244	0.4593	0.8219	1.1111	0.8889	0.8	0.4326				 
347-2	347	2009_nc_347_fruit-t.jpg	2	16.1987	17.1051	5.3086	5.334	3.3782	3.8862	0.7286	0.6364	0.9091	0.8421	1.0795	0.8455	0.8553	0.5857	0	0.1108	232.8016	160.6141	0.2246	202.9008	133.2371	0.0124	0	0	0.1609	2.4605	0	3.2201	0.4444	0.6842	0.8889	0.8814	0.6265	0.4886				 
347-3	347	2009_nc_347_fruit-t.jpg	3	15.6468	15.2432	4.953	5.0038	3.2004	3.6576	0.731	0.6462	0.9231	0.8308	1.1111	0.8272	0.8779	0.5844	0	0.107	227.5254	152.318	0.2231	194.696	138.0619	0.0004	0	0	0.195	2.007	0	3.5459	0.414	0.7133	0.9107	0.887	0.6623	0.4778				 
347-4	347	2009_nc_347_fruit-t.jpg	4	14.7654	14.5193	4.8768	4.8768	3.2258	3.556	0.7292	0.6615	0.9323	0.8073	1.1548	0.8596	0.8768	0.5885	1.7732	0.0816	206.3328	157.8556	0.2195	180	134.8315	0.0004	0	0	0.1644	0.3669	0	3.5969	0.4714	0.7194	0.8929	0.8772	0.6579	0.4695				 
347-5	347	2009_nc_347_fruit-t.jpg	5	15.0923	14.4561	5.0038	5.0038	2.9464	3.5052	0.7005	0.5888	0.9086	0.8325	1.0915	0.8106	0.8267	0.5961	0	0.1335	233.0657	163.6112	0.3054	185.7408	135.5016	0.0004	0	0	0.1463	1.3358	0	3.2959	0.4565	0.6715	0.8932	0.8846	0.5897	0.4969				 
347-6	347	2009_nc_347_fruit-t.jpg	6	16.4591	16.6122	5.08	5.1308	3.6322	3.9624	0.7723	0.715	0.93	0.785	1.1847	0.8858	0.906	0.5699	0.8534	0.0356	205.4757	153.1371	0.1328	181.9386	124.2594	0.0004	0	0	0.1658	1.4387	0	4.5224	0.4759	0.7484	0.8855	0.8992	0.7532	0.4551				 
348-1	348	2009_nc_348_fruit-t.jpg	1	17.7288	21.809	5.1054	5.1562	4.8006	5.0546	0.9803	0.9403	0.9104	0.8308	1.0958	0.9312	0.9851	0.5719	0.8514	0.035	209.3029	126.8471	0.0961	180	107.2165	0	0	0	0.209	1.0303	0	3.9703	0.397	0.7576	0.8929	0.8824	0.9375	0.4424				 
348-2	348	2009_nc_348_fruit-t.jpg	2	18.2204	22.1135	5.4356	5.461	4.6482	4.9784	0.9116	0.8551	0.9112	0.757	1.2037	0.9091	0.9754	0.5481	1.6411	0.0745	226.7209	136.9989	0.1285	170.2744	102.54	0	0	0	0.202	1.0205	0	6.0935	0.4223	0.759	0.9136	0.8862	0.881	0.4303				 
348-3	348	2009_nc_348_fruit-t.jpg	3	17.912	22.2071	5.6642	5.6642	4.3942	4.7752	0.843	0.7758	0.8879	0.8206	1.082	0.927	0.9489	0.5352	1.532	0.0701	226.698	137.2744	0.1091	171.5904	129.0631	0	0	0	0.12	2.8128	0	3	0.4681	0.7273	0.8831	0.8774	0.7727	0.4538				 
348-4	348	2009_nc_348_fruit-t.jpg	4	17.6827	20.4825	5.207	5.2324	4.318	4.7752	0.9126	0.8293	0.8732	0.8439	1.0347	0.91	0.9773	0.5539	1.0496	0.0458	214.1209	128.2664	0.1545	179.3273	113.2569	0.0028	0	0	0.1382	2.3797	0	3.2244	0.467	0.7273	0.8947	0.8889	0.8395	0.455				 
348-5	348	2009_nc_348_fruit-t.jpg	5	17.1406	18.4606	5.1308	5.1562	4.0386	4.3434	0.8424	0.7871	0.9059	0.8069	1.1227	0.9039	0.9555	0.5666	0.9054	0.0384	214.4206	139.8834	0.1337	182.5337	115.985	0	0	0	0.1479	1.0353	0	3.8861	0.4755	0.7412	0.8811	0.8936	0.8077	0.4605				 
348-6	348	2009_nc_348_fruit-t.jpg	6	18.6479	22.6729	5.5372	5.6388	4.4196	4.9276	0.8739	0.7982	0.945	0.7844	1.2047	0.8683	0.9594	0.5576	1.6921	0.077	228.9815	150.9572	0.165	176.7531	108.6856	0	0	0	0.2058	0.9896	0	7.0452	0.4155	0.7254	0.8917	0.8917	0.814	0.4618				 
349-1	349	2009_nc_349_fruit-t.jpg	1	16.6431	15.7877	5.5626	5.5626	3.1496	3.683	0.6621	0.5662	0.8356	0.8082	1.0339	0.821	0.7285	0.5092	0	0.0347	186.925	158.3462	0.1769	174.3351	134.3516	0	0	0.1389	0	8.8611	2.3578	0	0.5269	0.6667	0.8889	0.8727	0.5783	0.4885				 
349-2	349	2009_nc_349_fruit-t.jpg	2	19.67	21.9683	7.0104	7.0104	3.1496	3.8608	0.5507	0.4493	0.8841	0.8696	1.0167	0.7298	0.5174	0.6	1.805	0.0841	203.5017	173.1405	0.3166	196.0171	163.7849	0.0003	0	0	0.0905	3.7417	0	1.7818	0.5059	0.649	0.8909	0.875	0.4495	0.5072				 
349-3	349	2009_nc_349_fruit-t.jpg	3	18.6776	20.3516	6.4516	6.4516	3.2512	3.937	0.6102	0.5039	0.8898	0.8425	1.0561	0.7045	0.6475	0.5921	1.5222	0.0698	214.6943	176.5404	0.3118	247.1854	170.3342	0.0688	0	0	0.1077	6.1234	0	3.6719	0.4903	0.6623	0.8947	0.887	0.505	0.487				 
349-4	349	2009_nc_349_fruit-t.jpg	4	19.8902	22.4877	6.7564	6.858	3.6576	4.3942	0.6407	0.5414	0.9586	0.6654	1.4407	0.6483	0.6516	0.5336	0	0.2233	203.3768	183.6136	0.4402	155.0525	143.2383	0	0	0	0.2913	2.8779	0	12.2751	0.3757	0.6628	0.8906	0.8837	0.5377	0.4554				 
349-5	349	2009_nc_349_fruit-t.jpg	5	22.9581	29.8941	7.8232	8.0264	3.7846	4.8768	0.6076	0.4838	0.9675	0.7208	1.3423	0.5854	0.598	0.5497	0	0.2091	221.8798	190.0375	0.6021	163.9923	131.8131	0	0	0	0.2854	1.0628	0	12.7651	0.4115	0.6178	0.8939	0.8806	0.4797	0.508				 
349-6	349	2009_nc_349_fruit-t.jpg	6	19.473	22.5019	6.985	7.0104	3.4798	4.064	0.5797	0.4982	0.9127	0.7891	1.1567	0.7571	0.5748	0.5497	0.1458	0	221.793	268.4143	0.0158	172.2242	160.7975	0	0	0	0.1834	7.2327	0	5.0764	0.4188	0.6792	0.8926	0.878	0.4954	0.4698				 
350-1	350	2009_nc_350_fruit-t.jpg	1	16.6087	18.9471	5.334	5.4102	4.1402	4.4196	0.8169	0.7762	0.881	0.7857	1.1212	0.9417	0.9376	0.5194	0.8784	0.0367	200.7198	134.7524	0.0972	180	121.5856	0	0	0	0.1797	2.4855	0	3.6274	0.431	0.7399	0.8889	0.8767	0.7619	0.4249				 
350-2	350	2009_nc_350_fruit-t.jpg	2	17.8674	21.2116	5.7404	5.7912	3.9878	4.4958	0.7763	0.6947	0.885	0.8274	1.0695	0.8894	0.9062	0.567	1.7432	0.0802	208.8566	145.7296	0.1998	190.4165	131.0267	0	0	0	0.1561	3.1932	0	2.978	0.4463	0.7045	0.8921	0.8794	0.6889	0.4668				 
350-3	350	2009_nc_350_fruit-t.jpg	3	20.6102	26.2741	6.7818	6.858	3.9878	4.7752	0.6963	0.588	0.8989	0.8352	1.0762	0.7801	0.8133	0.5583	0	0.1072	222.6913	164.1332	0.3357	180	141.0075	0	0	0	0.1755	3.9144	0	4.7993	0.4202	0.6631	0.8921	0.8794	0.5849	0.493				 
350-4	350	2009_nc_350_fruit-t.jpg	4	19.3642	23.6948	6.4008	6.5024	3.8862	4.4958	0.6914	0.6071	0.8373	0.9087	0.9214	0.8091	0.7987	0.5728	0	0.1421	200.2803	152.4254	0.2615	177.2285	158.5561	0	0	0.2268	0	6.4318	6.4588	0	0.5706	0.6818	0.9023	0.8759	0.6	0.4868				 
350-5	350	2009_nc_350_fruit-t.jpg	5	21.8391	29.667	7.1628	7.2136	4.2926	5.0292	0.6972	0.5993	0.9255	0.8262	1.1202	0.7724	0.8199	0.5823	0	0.186	207.8819	164.9073	0.3375	170.2561	138.1085	0	0	0	0.1778	2.7665	0	6.3322	0.4242	0.6802	0.8933	0.8816	0.5982	0.4873				 
350-6	350	2009_nc_350_fruit-t.jpg	6	19.198	23.3729	6.0706	6.1214	4.0386	4.7244	0.7718	0.6653	0.9079	0.8075	1.1244	0.7982	0.8862	0.558	0	0.1246	195.0459	154.6804	0.3389	179.0618	125.3497	0	0	0	0.1794	2.0378	0	5.675	0.4301	0.6811	0.8936	0.8811	0.6632	0.481				 
351-1	351	2009_nc_351_fruit-t.jpg	1	21.5002	25.9425	6.8834	6.9342	3.7846	4.6228	0.6667	0.5498	0.893	0.8303	1.0756	0.7607	0.7646	0.5761	1.6944	0.0784	210.0474	164.6454	0.3347	204.6751	138.6233	0	0	0	0.1055	2.3978	0	3.9853	0.5107	0.6851	0.9394	0.8794	0.5962	0.4962				 
351-2	351	2009_nc_351_fruit-t.jpg	2	26.1157	38.2225	8.9916	8.9916	3.7846	5.1816	0.5763	0.4209	0.8927	0.8898	1.0032	0.6208	0.5339	0.6144	0	0.185	249.4305	177.7147	0.5363	174.5054	162.6426	0.0002	0	0.1078	0	5.3596	6.5552	0	0.4657	0.5813	0.8939	0.8806	0.4184	0.5589				 
351-3	351	2009_nc_351_fruit-t.jpg	3	24.5557	32.247	8.0772	8.1788	3.683	5.1308	0.6273	0.456	0.9057	0.8333	1.0868	0.5858	0.6304	0.5688	0	0.2036	199.8989	187.1638	0.5947	218.5066	151.2699	0.0554	0	0	0.1743	9.0149	0	6.6199	0.4292	0.5672	0.8906	0.8702	0.4524	0.5486				 
351-4	351	2009_nc_351_fruit-t.jpg	4	24.1853	34.058	7.8486	7.9248	4.191	5.461	0.6891	0.534	0.89	0.8382	1.0618	0.7092	0.7763	0.5592	0	0.1757	226.7631	166.8287	0.4904	195.1791	138.314	0.0263	0	0	0.1299	4.5794	0	6.3987	0.4667	0.6075	0.8966	0.8784	0.5328	0.5281				 
351-5	351	2009_nc_351_fruit-t.jpg	5	26.4313	36.5193	8.6614	8.6868	3.8354	5.3086	0.6111	0.4428	0.8886	0.8592	1.0341	0.5945	0.5887	0.5711	0	0.1792	200.3525	182.7536	0.4877	214.3903	158.2748	0.094	0	0.0922	0	10.0433	7.6334	0	0.4715	0.6154	0.9552	0.8767	0.4885	0.5347				 
351-6	351	2009_nc_351_fruit-t.jpg	6	26.8551	38.4819	8.9662	9.0424	4.0894	5.4356	0.6011	0.4561	0.9348	0.8357	1.1186	0.5743	0.5718	0.5913	0	0.1966	213.8956	197.1874	0.6639	175.9722	142.6046	0.0013	0	0	0.1494	5.3662	0	9.3972	0.4881	0.6009	0.9014	0.8767	0.4706	0.5416				 
352-1	352	2009_nc_352_fruit-t.jpg	1	23.649	35.8496	7.6708	7.7216	4.953	5.7404	0.7434	0.6457	0.9305	0.7781	1.1957	0.8154	0.8677	0.5591	0	0.1157	202.462	160.6355	0.2782	177.1972	124.618	0	0	0	0.2055	2.2089	0	8.637	0.4336	0.6844	0.8902	0.88	0.6417	0.4776				 
352-2	352	2009_nc_352_fruit-t.jpg	2	24.018	35.2199	7.8486	7.9756	4.826	5.6388	0.707	0.6149	0.9482	0.7346	1.2907	0.7423	0.8224	0.528	0	0.1188	186.0148	168.8874	0.3518	190.0902	121.1249	0.0114	0	0	0.2236	6.8371	0	11.2141	0.4274	0.6878	0.8994	0.8837	0.623	0.4664				 
352-3	352	2009_nc_352_fruit-t.jpg	3	25.4219	40.4206	8.0264	8.0772	5.207	6.0706	0.7516	0.6487	0.9241	0.8133	1.1362	0.8003	0.8814	0.5906	0	0.1438	220.7204	161.4816	0.3114	176.851	123.8895	0.0002	0	0	0.1836	0.7983	0	8.2871	0.4477	0.6807	0.8901	0.8804	0.6429	0.4882				 
353-1	353	2009_nc_353_fruit-t.jpg	1	18.8329	18.7322	6.2992	6.2992	2.7686	3.7846	0.6008	0.4395	0.9032	0.8548	1.0566	0.5831	0.5409	0.5677	0	0.0722	213.0888	251.9896	0.4886	201.5824	151.9716	0.0372	0	0.127	0	7.2095	5.7571	0	0.5027	0.6081	0.9278	0.8824	0.4737	0.5374				 
353-2	353	2009_nc_353_fruit-t.jpg	2	18.1163	18.4051	6.1468	6.1468	2.6162	3.6576	0.595	0.4256	0.9091	0.8719	1.0427	0.608	0.6096	0.6181	0	0.1636	239.4102	172.7205	0.5069	276.5887	164.0978	0.1325	0	0	0.1381	2.3287	0	2.6929	0.4792	0.5594	0.8889	0.8696	0.4167	0.5771				 
353-3	353	2009_nc_353_fruit-t.jpg	3	15.5957	14.7477	5.4102	5.461	2.8194	3.302	0.6047	0.5211	0.9108	0.8638	1.0543	0.7676	0.6705	0.5785	0	0.0431	181.0278	173.9549	0.1727	187.4617	157.1826	0.0057	0	0.0683	0	6.4651	3.7804	0	0.4074	0.6822	0.8889	0.8889	0.5238	0.492				 
353-4	353	2009_nc_353_fruit-t.jpg	4	17.0586	17.7471	6.1468	6.1468	3.048	3.6068	0.5868	0.4959	0.8678	0.8554	1.0145	0.7951	0.6315	0.546	0	0.0625	222.0184	167.0488	0.2331	187.351	157.7899	0.0127	0	0.1154	0	7.0142	3.7593	0	0.493	0.6809	0.8972	0.8889	0.5	0.4737				 
353-5	353	2009_nc_353_fruit-t.jpg	5	19.4189	19.8974	6.1976	6.2484	3.1496	3.8862	0.622	0.5082	0.9262	0.8566	1.0813	0.7166	0.7028	0.6044	0	0.1115	228.4698	176.4908	0.3959	195.8722	143.9077	0.0006	0	0	0.1503	2.4342	0	4.5143	0.4542	0.8289	1.1053	0.9197	0.7412	0.4545				 
353-6	353	2009_nc_353_fruit-t.jpg	6	19.9487	21.4032	7.0104	7.0358	2.8194	3.7084	0.5271	0.4022	0.913	0.8587	1.0633	0.6349	0.4473	0.6163	1.6904	0.0776	211.7155	229.2472	0.3943	182.6761	162.3423	0.0235	0	0	0.1557	2.2759	0	3.2572	0.4637	0.6207	0.9184	0.8824	0.4206	0.544				 
353-7	353	2009_nc_353_fruit-t.jpg	7	17.949	16.7051	6.1722	6.1722	2.3876	3.3782	0.5473	0.3868	0.893	0.8765	1.0188	0.5412	0.4164	0.6018	0	0.2018	221.6658	189.506	0.6293	183.6923	163.4072	0.0595	0	0.1237	0	4.0985	4.1074	0	0.503	0.5758	0.9048	0.8941	0.4043	0.5666				 
353-8	353	2009_nc_353_fruit-t.jpg	8	22.8355	20.6245	7.493	7.5438	2.3114	3.81	0.5051	0.3085	0.9085	0.8136	1.1167	0.2264	-0.0684	0.5606	0	0.1694	205.6034	231.549	1.2092	173.3599	136.3858	0	0	0	0.1819	9.5436	0	8.1115	0.4565	0.5906	1.0476	0.9072	0.44	0.5676				 
354-1	354	2009_nc_354_fruit-t.jpg	1	11.5088	8.1639	3.429	3.429	2.8702	2.9718	0.8667	0.837	0.8667	0.7704	1.125	0.9698	0.9715	0.5404	0.5453	0.0209	205.3189	125.7658	0.0269	172.9816	119.3503	0	0	0	0.1072	0.5259	0	1.3731	0.5145	0.7931	0.92	0.8846	0.8679	0.3947				 
354-2	354	2009_nc_354_fruit-t.jpg	2	11.9257	8.6716	3.8862	3.9116	2.4384	2.7432	0.7013	0.6275	0.8758	0.8366	1.0469	0.9025	0.8451	0.5649	1.2804	0.0576	227.7515	148.0928	0.149	196.8851	137.162	0.0231	0	0	0.113	1.3925	0	0.5163	0.5	0.7103	0.8941	0.9048	0.6552	0.4849				 
354-3	354	2009_nc_354_fruit-t.jpg	3	11.5788	8.8393	3.5814	3.6322	2.9464	3.0226	0.8322	0.8227	0.8865	0.7943	1.1161	0.9697	0.9525	0.5188	0.1874	0.0025	183.8908	132.9672	0.0146	172.6933	119.8442	0	0	0	0.1504	1.0254	0	1.4085	0.4571	0.7966	0.9307	0.8704	0.8545	0.4073				 
354-4	354	2009_nc_354_fruit-t.jpg	4	12.7498	11.0129	4.2926	4.318	2.8194	3.0734	0.7118	0.6568	0.8817	0.8462	1.042	0.9195	0.8565	0.5814	1.0856	0.0481	199.5151	151.8512	0.1189	180	136.2368	0.01	0	0	0.0978	1.475	0	0.9645	0.4711	0.7333	0.8889	0.8889	0.6567	0.4574				 
354-5	354	2009_nc_354_fruit-t.jpg	5	11.2494	8.5071	3.4544	3.5306	2.8194	2.9718	0.8417	0.8162	0.8897	0.8015	1.1101	0.9615	0.9614	0.5418	0.5176	0.0186	204.8785	127.9669	0.0478	173.206	117.8865	0.0015	0	0	0.1865	0.2845	0	1.5942	0.4219	0.7586	0.898	0.88	0.8302	0.4444				 
354-6	354	2009_nc_354_fruit-t.jpg	6	11.3575	7.6393	3.3274	3.3528	2.7432	2.8448	0.8485	0.8244	0.8702	0.7939	1.0962	0.974	0.9634	0.5333	0.3577	0.0112	190.3544	125.9951	0.0181	171.3827	114.5519	0.0008	0	0	0.1322	0.3964	0	0.7405	0.4797	0.7928	0.9362	0.8627	0.9167	0.4397				 
354-7	354	2009_nc_354_fruit-t.jpg	7	11.2643	8.4006	3.3782	3.429	2.8956	2.9972	0.8741	0.8571	0.9023	0.8271	1.0909	0.972	0.9706	0.5516	0.3273	0.0094	199.6827	126.4405	0.0294	176.9354	122.2425	0.0015	0	0	0.1565	0.5897	0	1.0672	0.4351	0.8034	0.9307	0.8785	0.9038	0.4103				 
354-8	354	2009_nc_354_fruit-t.jpg	8	11.2966	8.9251	3.6068	3.6068	2.8194	2.9972	0.831	0.7817	0.8873	0.8169	1.0862	0.9558	0.947	0.5648	0.8839	0.0377	225.8018	132.4834	0.0609	172.1262	121.6827	0	0	0	0.1189	0.6581	0	0.9929	0.4661	0.7521	0.8889	0.8889	0.7857	0.4404				 
354-9	354	2009_nc_354_fruit-t.jpg	9	10.8989	8.2858	3.4544	3.4544	2.8194	2.9464	0.8529	0.8162	0.8603	0.8162	1.0541	0.9549	0.965	0.5423	0.7207	0.0296	196.4672	132.9243	0.0546	180	119.7293	0	0	0	0.111	1.2609	0	1.3333	0.5	0.7652	0.8889	0.8889	0.8148	0.4188				 
355-1	355	2009_nc_355_fruit-t.jpg	1	26.9331	42.2212	8.509	8.636	4.9022	5.9944	0.6941	0.5761	0.9403	0.8299	1.1331	0.7219	0.8126	0.5764	0	0.1231	210.4169	171.0046	0.3769	179.0796	136.3447	0	0	0	0.1654	5.8681	0	8.118	0.4555	0.6638	0.8914	0.8914	0.6047	0.517				 
355-2	355	2009_nc_355_fruit-t.jpg	2	32.2431	61.2063	10.4902	10.5156	5.7404	7.1628	0.6812	0.5472	0.9177	0.8426	1.0891	0.6893	0.7747	0.5871	0	0.2101	216.1132	127.1673	0.4905	174.8285	141.0867	0	0	0	0.154	3.7402	0	9.9177	0.4642	0.6406	0.8911	0.8824	0.5488	0.5112				 
356-1	356	2009_nc_356_fruit-t.jpg	1	26.6479	34.1012	8.5344	8.8646	3.9116	5.6388	0.6361	0.4583	0.994	0.5208	1.9086	0.2925	0.4851	0.4863	0	0.519	241.8234	208.9265	0.6923	162.7069	118.7455	0.0004	0	0	0.2985	16.8507	0	21.5603	0.3829	0.552	0.8777	0.8905	0.4552	0.5142				 
356-2	356	2009_nc_356_fruit-t.jpg	2	23.3329	24.1864	7.5946	7.6708	3.1242	4.4196	0.5762	0.4114	0.9298	0.5518	1.6848	0.3622	0.3723	0.4903	0	0.204	243.0096	192.3434	0.7381	168.0309	106.2721	0	0	0	0.1564	14.2428	0	12.093	0.491	0.6243	0.973	0.871	0.4954	0.5068				 
356-3	356	2009_nc_356_fruit-t.jpg	3	16.6348	16.4825	5.334	5.3594	3.5306	3.9116	0.7299	0.6619	0.9048	0.8381	1.0795	0.867	0.8842	0.5941	1.4921	0.0681	199.8813	154.5701	0.2028	174.5721	137.4388	0	0	0	0.1239	0.4444	0	2.7667	0.5065	0.719	0.8943	0.88	0.6548	0.4319				 
356-4	356	2009_nc_356_fruit-t.jpg	4	23.8275	30.2522	8.3566	8.4074	3.2512	4.445	0.5287	0.3891	0.924	0.8571	1.078	0.5029	0.3746	0.6116	0	0.3451	218.2976	194.6086	0.6764	169.1731	154.7278	0	0	0	0.164	2.4483	0	7.1636	0.4343	0.5862	0.9027	0.887	0.3893	0.5524				 
