plant	fruit perimeter	fruit area	fruit mid-height width	fruit widest width	fruit length mid-width	fruit longest length	fruit shape index external	fruit shape index external 2	proximal fruit end blockiness 5%	distal fruit end blockiness 5%	fruit shape triangle 5%	proximal fruit end blockiness 10%	distal fruit end blockiness 10%	fruit shape triangle 10%	proximal fruit end blockiness 20%	distal fruit end blockiness 20%	fruit shape triangle 20%	proximal fruit end blockiness 30%	distal fruit end blockiness 30%	fruit shape triangle 30%	distal angle micro 2%	distal angle micro 5%	distal angle macro 10%	distal angle macro 15%	distal angle macro 20%	distal angle macro 25%	proximal fruit end height	proximal fruit end angle	proximal fruit end indentation	distal fruit end indentation	distal fruit end protrusion	obovoid	ovoid	vertical asymmetry	horizontal asymmetry obovoid	horizontal asymmetry ovoid	heart shape	fruit shape ellipsoid	fruit shape circular	fruit shape rectangular
03S10-74 test01	72.56	333.3	19.56	19.64	21.25	21.34	1.09	1.09	0.48	0.47	1.03	0.64	0.61	1.04	0.83	0.79	1.04	0.94	0.91	1.03	177.45	166.88	145.36	119.97	99.08	78.95	0	180	0	0	0	0	0.07	0.91	0	0.98	0.11	0.99	0.98	0.51
03S10-75 test01	85.1	504.62	25.97	26.05	23.46	23.84	0.92	0.9	0.59	0.45	1.3	0.72	0.6	1.19	0.87	0.79	1.1	0.95	0.9	1.06	176.87	147.73	153.81	133.62	110.95	90.94	0.01	187.41	0	0	0	0	0.15	1.13	0	4.21	0.26	0.98	0.98	0.53
03S10-76 test01	72.54	375.79	22.49	22.57	19.55	19.93	0.89	0.87	0.62	0.47	1.33	0.75	0.62	1.21	0.89	0.8	1.12	0.96	0.91	1.06	174.8	171.87	157	138.19	114.94	92.2	0.01	187.13	0	0	0	0	0.24	1.81	0	4.11	0.33	0.96	0.98	0.54
03S10-77 test01	90.72	564.93	28.18	28.29	23.66	24.28	0.86	0.84	0.61	0.47	1.3	0.74	0.63	1.17	0.88	0.81	1.09	0.96	0.92	1.05	176.02	169.89	158.83	141.64	119.82	97.07	0.02	189.26	0	0	0	0	0.15	1.37	0	4.21	0.47	0.97	0.97	0.55
03S10-78 test01	84.94	454.14	18.97	19.56	28.45	28.87	1.48	1.5	0.66	0.38	1.74	0.81	0.55	1.46	0.96	0.77	1.24	1.02	0.89	1.15	162.6	137.19	107.64	85.76	66.63	48.88	0.01	185.93	0	0	0	0	0.58	2.26	0	12.77	0.28	0.94	0.89	0.53
03S10-79 test01	91.29	517.84	19.45	19.61	29.63	31.02	1.58	1.52	0.6	0.54	1.27	0.75	0.78	0.97	0.9	0.91	0.98	0.95	0.97	0.98	216.29	241.8	172.26	115.93	72.31	44.29	0	181.86	0	0	0	0.14	0.08	2.26	5.17	0	0	0.9	0.88	0.6
03S10-80 test01	90.1	557.47	23.88	24.06	27.89	28.78	1.2	1.17	0.66	0.34	1.98	0.79	0.52	1.54	0.92	0.75	1.23	0.98	0.89	1.1	160.62	139.81	121.66	106.1	88.38	69.84	0.02	196.05	0	0	0	0	0.26	2.25	0	11.7	0.56	0.94	0.95	0.53
03S10-81 test01	87.34	533.29	24.26	24.43	26.37	26.75	1.09	1.09	0.56	0.42	1.34	0.71	0.59	1.2	0.87	0.8	1.1	0.96	0.92	1.05	171.23	159.26	140.2	118.97	98.05	77.86	0	189.56	0	0	0	0	0.19	2.18	0	4.67	0.23	0.98	0.98	0.52
03S10-82 test01	66.39	305.87	19.55	19.6	19.17	19.35	0.99	0.98	0.53	0.45	1.18	0.68	0.6	1.12	0.85	0.8	1.06	0.94	0.91	1.04	175.61	168.39	150.08	128.16	106.81	86.69	0	182.99	0	0	0	0	0.06	0.57	0	1.61	0.2	0.99	0.99	0.52
03S10-84 test01	61.63	256.68	17.16	17.26	18.02	18.2	1.06	1.05	0.57	0.47	1.23	0.71	0.62	1.15	0.87	0.8	1.08	0.95	0.91	1.04	176.4	167.77	148.28	124.56	99.49	77.3	0	182.7	0	0	0	0	0.15	0.71	0.05	2.13	0.15	0.98	0.98	0.54
03S10-85 test01	56.67	231.47	17.17	17.19	16.55	16.72	0.97	0.97	0.53	0.46	1.15	0.67	0.61	1.1	0.84	0.8	1.05	0.94	0.91	1.03	178.22	128.6	150.69	129.28	107.54	88.37	0	180.54	0	0	0	0	0.15	0.88	0.27	1.11	0.18	0.99	0.99	0.52
03S10-86 test01	68.93	332.13	17.82	17.91	22.01	22.18	1.24	1.24	0.66	0.44	1.49	0.79	0.6	1.31	0.92	0.82	1.12	0.98	0.93	1.05	168.97	159.27	133.35	107.32	85.36	64.61	0.01	185.13	0	0	0	0	0.39	0.31	0	5.46	0.28	0.97	0.94	0.56
03S10-87 test01	69.9	343.42	20.74	20.76	20.2	20.42	0.98	0.97	0.56	0.46	1.23	0.69	0.61	1.14	0.85	0.79	1.08	0.94	0.91	1.04	171.79	169.4	151.78	128.61	105.02	84.92	0.01	183.25	0	0	0	0	0.09	0.78	0	2.28	0.27	0.99	1	0.52
03S10-88 test01	85.22	467.76	19.3	19.52	29.18	29.39	1.51	1.51	0.6	0.46	1.31	0.72	0.63	1.14	0.83	0.84	0.99	0.91	0.95	0.96	158.55	156.04	126.85	95.13	71.41	52.71	0	180.84	0	0	0	0.12	0	1.8	2.82	2.6	0.09	0.97	0.89	0.54
03S10-89 test01	67.14	324.79	21.32	21.34	18.15	18.39	0.86	0.85	0.59	0.49	1.19	0.72	0.64	1.13	0.87	0.81	1.07	0.95	0.91	1.04	176.52	175.28	161.4	143.53	119.73	97.09	0.01	183.98	0	0	0	0	0.12	0.77	0.01	2.02	0.22	0.98	0.97	0.54
03S10-90 test01	67.03	313.23	20.13	20.25	18.66	19	0.94	0.93	0.6	0.46	1.3	0.73	0.61	1.19	0.88	0.8	1.1	0.96	0.91	1.06	176.14	170.18	153.83	132.15	108.33	88.53	0.01	186.4	0	0	0	0.02	0.14	1.14	0	3.27	0.32	0.98	0.99	0.53
03S10-91 test01	85.26	498.32	23.1	23.17	26.67	26.82	1.16	1.16	0.54	0.4	1.35	0.69	0.58	1.19	0.85	0.79	1.08	0.94	0.91	1.04	168.77	155.8	135.46	114.02	92.83	73.61	0	182.33	0	0	0	0.02	0.12	1.03	0	4.13	0.18	0.99	0.96	0.52
03S10-92 test01	77.21	406.68	19.05	19.12	27.38	27.45	1.44	1.44	0.43	0.39	1.11	0.58	0.57	1	0.78	0.81	0.96	0.9	0.93	0.97	162.47	141.53	117.72	99.45	80.8	61.74	0	180	0	0	0	0.1	0	0.84	2.22	0	0	0.99	0.91	0.48
03S10-93 test01	91.69	563.78	21.79	21.88	32.05	32.15	1.47	1.47	0.5	0.46	1.09	0.64	0.62	1.03	0.81	0.83	0.98	0.92	0.94	0.98	175.4	157	122.94	96.31	74.96	55.59	0	180.11	0	0	0	0.07	0.01	1.64	2.5	0.94	0.03	0.99	0.9	0.51
03S10-94 test01	68.35	329.5	18.76	18.87	21.54	21.64	1.15	1.15	0.53	0.44	1.21	0.67	0.61	1.11	0.85	0.81	1.05	0.95	0.92	1.03	171.61	161.96	141.56	119.79	98.22	78	0	181.02	0	0	0	0.01	0.1	0.84	0	1.71	0.15	0.99	0.96	0.52
03S10-96 test01	65.18	287.57	18.14	18.26	19.16	19.33	1.06	1.06	0.56	0.45	1.25	0.7	0.61	1.15	0.87	0.81	1.07	0.96	0.92	1.04	172.81	166.27	145.5	124.24	102.61	80.75	0	183.16	0	0	0	0.01	0.11	0.98	0	2.18	0.2	0.98	0.98	0.53
03S10-97 test01	96.69	639.28	25.42	25.48	30.3	30.69	1.21	1.19	0.56	0.48	1.18	0.69	0.64	1.09	0.85	0.83	1.02	0.94	0.94	1	201.39	162.87	139.14	114.94	91.43	71.26	0.01	187.01	0	0	0	0.03	0.09	1.35	0.54	2.7	0.25	0.99	0.95	0.54
03S10-98 test01	91.64	568.34	27.56	27.75	24.47	25.2	0.91	0.89	0.6	0.47	1.29	0.73	0.62	1.18	0.88	0.8	1.11	0.96	0.91	1.06	177.33	191.42	156.01	134.94	112.6	90.49	0.02	193.48	0	0	0	0	0.14	2.77	0	5.08	0.45	0.97	0.98	0.53
03S10-99 test01	95.06	509.82	17.05	17.31	36.88	37.71	2.18	2.16	0.65	0.27	2.43	0.79	0.43	1.81	0.9	0.7	1.29	0.97	0.87	1.12	102.97	84.59	69.77	61.8	52.58	40.48	0	180.18	0	0	0	0.01	0.18	3.45	0	18.94	0.17	0.93	0.81	0.49
03S10-101 test01	78.35	410.82	24.01	24.14	20.22	20.79	0.86	0.84	0.6	0.47	1.3	0.73	0.62	1.18	0.88	0.8	1.09	0.96	0.91	1.05	176.32	174.78	159.67	141.61	118.94	96.07	0.02	192.01	0	0	0	0	0.17	1.81	0	3.65	0.47	0.97	0.97	0.54
