Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:
695	SCT_0129	2010	Davis	California	2	OH981205
696	SCT_0022	2010	Davis	California	2	F03-6331
697	SCT_0034	2010	Davis	California	2	OH05-8018
698	SCT_0086	2010	Davis	California	2	OH08-5202
699	SCT_0075	2010	Davis	California	2	OH05-8185
700	SCT_0040	2010	Davis	California	2	OH05-8036
701	SCT_0111	2010	Davis	California	2	OH5-8164
702	SCT_0038	2010	Davis	California	2	OH05-8028
703	SCT_0077	2010	Davis	California	2	OH05-8187
704	SCT_0051	2010	Davis	California	2	OH05-8070
705	SCT_0123	2010	Davis	California	2	OH88119
706	SCT_0082	2010	Davis	California	2	OH05-8206
707	SCT_0069	2010	Davis	California	2	OH05-8165
708	SCT_0112	2010	Davis	California	2	OH7814
709	SCT_0002	2010	Davis	California	2	2K1-2019
710	SCT_0104	2010	Davis	California	2	OH08-7466
711	SCT_0039	2010	Davis	California	2	OH05-8030
712	SCT_0139	2010	Davis	California	2	Sun1642
713	SCT_0062	2010	Davis	California	2	OH05-8124
714	SCT_0024	2010	Davis	California	2	F06-1013-1
715	SCT_0116	2010	Davis	California	2	OH8245
716	SCT_0043	2010	Davis	California	2	OH05-8046
717	SCT_0035	2010	Davis	California	2	OH05-8022
718	SCT_0091	2010	Davis	California	2	OH08-5207
719	SCT_0099	2010	Davis	California	2	OH08-7454
720	SCT_0052	2010	Davis	California	2	OH05-8072
721	SCT_0136	2010	Davis	California	2	R996
722	SCT_0019	2010	Davis	California	2	E3259
723	SCT_0015	2010	Davis	California	2	CULBPT-05-21
724	SCT_0093	2010	Davis	California	2	OH08-5211
725	SCT_0119	2010	Davis	California	2	OH8556
726	SCT_0016	2010	Davis	California	2	CULBPT-05-22
727	SCT_0090	2010	Davis	California	2	OH08-5206
728	SCT_0041	2010	Davis	California	2	OH05-8040
729	SCT_0014	2010	Davis	California	2	CULBPT-05-20
730	SCT_0101	2010	Davis	California	2	OH08-7458
731	SCT_0066	2010	Davis	California	2	OH05-8151
732	SCT_0081	2010	Davis	California	2	OH05-8197
733	SCT_0060	2010	Davis	California	2	OH05-8109
734	SCT_0078	2010	Davis	California	2	OH05-8188
735	SCT_0023	2010	Davis	California	2	F03-7463
736	SCT_0126	2010	Davis	California	2	OH981049
737	SCT_0031	2010	Davis	California	2	Hunt100
738	SCT_0110	2010	Davis	California	2	OH5-8157
739	SCT_0026	2010	Davis	California	2	F06-2041
740	SCT_0122	2010	Davis	California	2	OH87160
741	SCT_0018	2010	Davis	California	2	CULBPT-A46-2
742	SCT_0074	2010	Davis	California	2	OH05-8184
743	SCT_0097	2010	Davis	California	2	OH08-7438
744	SCT_0083	2010	Davis	California	2	OH05-8210
745	SCT_0063	2010	Davis	California	2	OH05-8139
746	SCT_0058	2010	Davis	California	2	OH05-8095
747	SCT_0140	2010	Davis	California	2	UC-204B
748	SCT_0013	2010	Davis	California	2	CULBPT-05-18
749	SCT_0065	2010	Davis	California	2	OH05-8144
750	SCT_0053	2010	Davis	California	2	OH05-8074
751	SCT_0141	2010	Davis	California	2	UC-82
752	SCT_0085	2010	Davis	California	2	OH08-5201
753	SCT_0133	2010	Davis	California	2	Peto95-43
754	SCT_0012	2010	Davis	California	2	CULBPT-05-15
755	SCT_0003	2010	Davis	California	2	2K1-2029
756	SCT_0089	2010	Davis	California	2	OH08-5205
757	SCT_0050	2010	Davis	California	2	OH05-8069
758	SCT_0118	2010	Davis	California	2	OH8446
759	SCT_0120	2010	Davis	California	2	OH86120
760	SCT_0009	2010	Davis	California	2	CULBPT04-5
761	SCT_0010	2010	Davis	California	2	CULBPT-05-10
762	SCT_0095	2010	Davis	California	2	OH08-5215
763	SCT_0006	2010	Davis	California	2	CULBPT04-2
764	SCT_0080	2010	Davis	California	2	OH05-8193
765	SCT_0073	2010	Davis	California	2	OH05-8181
766	SCT_0033	2010	Davis	California	2	OH03-6439
767	SCT_0100	2010	Davis	California	2	OH08-7457
768	SCT_0128	2010	Davis	California	2	OH981136
769	SCT_0036	2010	Davis	California	2	OH05-8025
770	SCT_0137	2010	Davis	California	2	R997
771	SCT_0037	2010	Davis	California	2	OH05-8027
772	SCT_0011	2010	Davis	California	2	CULBPT-05-11
773	SCT_0121	2010	Davis	California	2	OH8614-1
774	SCT_0004	2010	Davis	California	2	2K1-2054
775	SCT_0047	2010	Davis	California	2	OH05-8062
776	SCT_0007	2010	Davis	California	2	CULBPT04-3
777	SCT_0025	2010	Davis	California	2	F06-1014-1
