	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	image files	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
549-5	549	2010_ca_11549_fruit_C.jpg	5	0.81841	91.4902	137.5906	54.1295	38.1803	82.7121	36.2974	39.1349	26.3383	33.941	47.1725	data normalized to color checker
550-1	550	2010_ca_11550_fruit_C.jpg	1	0.166989	84.6678	142.1602	62.2734	45.789	88.444	38.6941	36.9668	25.1824	34.2634	44.7291	data normalized to color checker
550-2	550	2010_ca_11550_fruit_C.jpg	2	0.00833919	92.7592	143.9285	59.9976	44.9049	88.8618	38.5232	38.9542	25.53	33.2403	46.5748	data normalized to color checker
550-3	550	2010_ca_11550_fruit_C.jpg	3	0.151361	94.55	142.641	62.4261	47.8602	89.6461	38.79	37.2774	24.1182	32.9026	44.3992	data normalized to color checker
550-4	550	2010_ca_11550_fruit_C.jpg	4	0.784983	75.0025	153.3227	73.5261	54.3797	97.7411	42.8073	35.7565	25.98	36.0015	44.1983	data normalized to color checker
550-5	550	2010_ca_11550_fruit_C.jpg	5	0.120785	96.7544	139.652	51.0006	36.3697	82.8248	36.0293	41.6046	27.1626	33.1395	49.6865	data normalized to color checker
551-1	551	2010_ca_11551_fruit_C.jpg	1	0.623306	81.5877	145.8522	66.1623	47.8061	91.1318	40.0412	36.4373	25.8852	35.3901	44.6958	data normalized to color checker
551-2	551	2010_ca_11551_fruit_C.jpg	2	0.0192524	89.6219	137.4268	56.0884	41.0687	83.9965	36.6204	38.2324	25.093	33.278	45.7316	data normalized to color checker
551-3	551	2010_ca_11551_fruit_C.jpg	3	0.352868	85.421	140.8738	62.8194	47.9662	88.864	38.606	36.2703	23.7914	33.2627	43.3771	data normalized to color checker
551-4	551	2010_ca_11551_fruit_C.jpg	4	0.0686656	96.3847	141.4833	48.8707	38.4317	84.6591	36.0317	43.4947	26.0884	30.9556	50.7187	data normalized to color checker
551-5	551	2010_ca_11551_fruit_C.jpg	5	0.0166637	94.6641	144.6252	58.0442	43.9779	88.7525	38.2248	40.2759	25.7497	32.5922	47.8037	data normalized to color checker
552-1	552	2010_ca_11552_fruit_C.jpg	1	0.748413	96.1556	129.9359	53.9774	42.6933	81.2312	35.0317	36.3773	21.8451	30.9854	42.4325	data normalized to color checker
552-2	552	2010_ca_11552_fruit_C.jpg	2	0.38154	97.0222	130.1806	53.7483	42.6504	81.3245	34.9979	36.6392	21.8322	30.7895	42.6507	data normalized to color checker
552-3	552	2010_ca_11552_fruit_C.jpg	3	0.421427	94.3392	135.7171	57.8819	44.1892	84.6552	36.737	36.7115	23.4252	32.5414	43.5485	data normalized to color checker
552-4	552	2010_ca_11552_fruit_C.jpg	4	0.198908	88.1731	134.2685	55.8931	40.0541	82.0314	36.0249	36.9658	24.788	33.8445	44.5075	data normalized to color checker
552-5	552	2010_ca_11552_fruit_C.jpg	5	0.671996	77.9407	126.8152	56.1517	37.723	77.4287	34.835	33.4884	24.3361	36.006	41.3971	data normalized to color checker
553-1	553	2010_ca_11553_fruit_C.jpg	1	0.29529	96.2298	137.5731	50.486	37.4122	82.3411	35.569	41.1128	25.9066	32.2164	48.5944	data normalized to color checker
553-2	553	2010_ca_11553_fruit_C.jpg	2	0.378543	96.1248	134.8841	52.4663	40.2154	82.3942	35.5111	39.099	24.1051	31.6544	45.9325	data normalized to color checker
553-3	553	2010_ca_11553_fruit_C.jpg	3	0.0380153	94.492	142.7428	61.3129	46.5261	89.0651	38.5552	37.8678	24.6668	33.0799	45.1932	data normalized to color checker
553-4	553	2010_ca_11553_fruit_C.jpg	4	0.489948	93.3914	136.6242	53.6041	40.2651	83.2381	36.0333	39.1378	24.8188	32.3804	46.3437	data normalized to color checker
553-5	553	2010_ca_11553_fruit_C.jpg	5	0.0911538	96.1488	139.1689	53.2931	39.4249	84.0402	36.3646	40.3577	25.8234	32.6137	47.9124	data normalized to color checker
554-1	554	2010_ca_11554_fruit_C.jpg	1	0.0561141	88.1105	141.487	54.1192	38.1571	84.5365	36.9135	40.7279	27.318	33.8515	49.0412	data normalized to color checker
554-2	554	2010_ca_11554_fruit_C.jpg	2	0.511097	83.4516	138.052	57.22	41.3986	84.4454	36.9711	37.7806	25.4283	33.9425	45.5409	data normalized to color checker
554-3	554	2010_ca_11554_fruit_C.jpg	3	0.557157	87.4125	140.3543	57.3544	41.3953	85.5276	37.3516	38.7126	25.9451	33.8299	46.6027	data normalized to color checker
554-4	554	2010_ca_11554_fruit_C.jpg	4	0.651751	91.3208	135.0318	52.0536	37.6996	81.2817	35.4834	39.1576	25.5423	33.1162	46.7518	data normalized to color checker
554-5	554	2010_ca_11554_fruit_C.jpg	5	0.13272	96.0361	135.2768	47.8222	36.5874	80.8746	34.7268	41.4903	25.2687	31.3426	48.5793	data normalized to color checker
555-1	555	2010_ca_11555_fruit_C.jpg	1	1.66181	79.7085	130.952	57.5835	37.5837	79.3101	33.9111	27.5022	28.9291	46.2686	40.2082	
555-2	555	2010_ca_11555_fruit_C.jpg	2	1.57235	68.9655	136.121	61.4798	41.0747	83.3842	35.6845	27.5837	29.3133	47.6195	40.6067	
555-3	555	2010_ca_11555_fruit_C.jpg	3	1.97571	84.7503	124.985	53.0732	36.2353	75.8666	31.9842	27.3877	27.2023	45.0679	38.9363	
555-4	555	2010_ca_11555_fruit_C.jpg	4	1.28207	89.9775	126.108	52.0505	35.7576	76.1711	31.9261	28.4226	27.4563	43.9379	39.7581	
555-5	555	2010_ca_11555_fruit_C.jpg	5	0.700255	95.6879	110.432	44.409	34.5519	68.226	27.5978	26.27	22.3614	40.4196	34.6517	
556-1	556	2010_ca_11556_fruit_C.jpg	1	0.322715	85.5432	136.2776	54.2992	38.9744	82.4674	36.1067	38.5409	25.6116	33.6052	46.2747	data normalized to color checker
556-2	556	2010_ca_11556_fruit_C.jpg	2	0.483315	85.4183	134.4815	56.2345	41.0167	82.584	36.158	36.8771	24.4089	33.5005	44.2234	data normalized to color checker
556-3	556	2010_ca_11556_fruit_C.jpg	3	0.239933	88.0278	130.3028	52.3593	38.1138	79.2501	34.729	37.1326	24.1334	33.0208	44.286	data normalized to color checker
556-4	556	2010_ca_11556_fruit_C.jpg	4	0.998122	83.4221	130.4849	52.9649	38.254	79.4021	34.9262	36.7706	24.3053	33.4647	44.0774	data normalized to color checker
556-5	556	2010_ca_11556_fruit_C.jpg	5	0.189484	84.9775	133.3918	55.5415	38.6664	80.9649	35.8087	36.6985	25.2882	34.57	44.5676	data normalized to color checker
557-1	557	2010_ca_11557_fruit_C.jpg	1	0.05898	66.0739	147.0603	66.3974	41.9211	88.9317	40.1509	36.4863	29.3209	38.7858	46.8078	data normalized to color checker
557-2	557	2010_ca_11557_fruit_C.jpg	2	1.2917	53.7371	143.4065	71.0407	46.4272	89.3327	40.625	32.4703	27.3363	40.0935	42.4452	data normalized to color checker
557-3	557	2010_ca_11557_fruit_C.jpg	3	0.143823	85.8732	142.091	57.7303	40.2929	85.8243	37.7027	39.1514	27.1016	34.6919	47.6165	data normalized to color checker
557-4	557	2010_ca_11557_fruit_C.jpg	4	0.0492506	91.3212	137.2226	52.8831	37.3526	82.1514	35.938	39.7091	26.3261	33.5433	47.6432	data normalized to color checker
557-5	557	2010_ca_11557_fruit_C.jpg	5	0.558184	80.3457	141.9356	60.6852	40.638	85.9158	38.2724	37.4528	27.5888	36.3764	46.5172	data normalized to color checker
558-1	558	2010_ca_11558_fruit_C.jpg	1	0.310868	97.2135	134.7732	48.4422	35.8576	80.2929	34.7654	40.9298	25.7026	32.1275	48.3308	data normalized to color checker
558-2	558	2010_ca_11558_fruit_C.jpg	2	0.421519	94.1463	134.3469	56.2438	41.425	82.7131	36.1696	36.8843	24.2135	33.2837	44.1219	data normalized to color checker
558-3	558	2010_ca_11558_fruit_C.jpg	3	0.701288	92.56	129.807	52.6556	38.6103	79.2487	34.7093	36.814	23.7965	32.8786	43.8354	data normalized to color checker
558-4	558	2010_ca_11558_fruit_C.jpg	4	0.567203	95.9975	130.8271	46.5565	35.0258	78.0436	33.7918	40.214	24.8573	31.7213	47.2763	data normalized to color checker
558-5	558	2010_ca_11558_fruit_C.jpg	5	0.390856	95.8665	130.0151	52.8864	40.1888	80.09	34.785	36.9149	22.9758	31.8981	43.4809	data normalized to color checker
559-1	559	2010_ca_11559_fruit_C.jpg	1	0.00469744	94.5688	140.2014	50.0804	38.6075	84.142	36.0043	42.3873	25.9133	31.4394	49.6808	data normalized to color checker
559-2	559	2010_ca_11559_fruit_C.jpg	2	0.277594	91.2342	138.3891	59.9501	46.934	87.2088	37.6266	36.8218	23.0531	32.0495	43.4429	data normalized to color checker
559-3	559	2010_ca_11559_fruit_C.jpg	3	0.280384	87.2882	136.3739	58.5479	43.6415	84.711	36.9793	36.5346	24.0871	33.3967	43.7604	data normalized to color checker
559-4	559	2010_ca_11559_fruit_C.jpg	4	2.34664	52.5299	141.5241	70.2909	44.6524	87.6125	40.1641	31.9513	27.5904	40.8111	42.2151	data normalized to color checker
559-5	559	2010_ca_11559_fruit_C.jpg	5	0.0926977	86.7519	138.2545	62.5293	46.0063	86.71	38.0902	35.2153	24.1781	34.4727	42.7164	data normalized to color checker
560-1	560	2010_ca_11560_fruit_C.jpg	1	0.198874	93.4985	138.6288	54.0349	41.4017	84.7173	36.4666	39.8496	24.7547	31.8487	46.9125	data normalized to color checker
560-2	560	2010_ca_11560_fruit_C.jpg	2	1.12637	80.9706	140.2736	60.1435	43.368	86.4127	37.9713	37.1382	25.631	34.6116	45.1242	data normalized to color checker
560-3	560	2010_ca_11560_fruit_C.jpg	3	0.992703	85.1275	137.4502	55.4382	39.9037	83.458	36.5406	38.4486	25.663	33.7217	46.2265	data normalized to color checker
560-4	560	2010_ca_11560_fruit_C.jpg	4	0.324101	82.6004	144.897	62.1212	45.2967	89.4972	39.1093	38.109	26.149	34.4566	46.2176	data normalized to color checker
560-5	560	2010_ca_11560_fruit_C.jpg	5	0.566472	86.4422	140.6068	61.634	46.5725	88.0797	38.3052	36.7625	24.188	33.343	44.0062	data normalized to color checker
561-1	561	2010_ca_11561_fruit_C.jpg	1	0.304215	92.9944	137.202	52.8313	38.1493	82.5148	35.924	39.7267	25.8943	33.0968	47.4207	data normalized to color checker
561-2	561	2010_ca_11561_fruit_C.jpg	2	1.38449	81.6708	135.5319	56.1179	39.7384	82.4731	36.3505	37.2413	25.443	34.3406	45.1028	data normalized to color checker
561-3	561	2010_ca_11561_fruit_C.jpg	3	0.351757	92.8405	133.286	51.3017	37.9317	80.5697	35.007	38.9315	24.7251	32.4193	46.1193	data normalized to color checker
561-4	561	2010_ca_11561_fruit_C.jpg	4	0.793891	87.4949	137.0354	52.9965	36.3793	81.6042	35.949	39.4089	26.9371	34.3537	47.7354	data normalized to color checker
561-5	561	2010_ca_11561_fruit_C.jpg	5	0.859681	91.1109	133.2344	50.7151	36.962	80.088	34.9363	39.0965	25.2016	32.8058	46.5151	data normalized to color checker
562-1	562	2010_ca_11562_fruit_C.jpg	1	0.806312	77.974	147.1066	64.9095	44.6234	90.2241	39.9573	37.4391	27.6241	36.4214	46.5272	data normalized to color checker
562-2	562	2010_ca_11562_fruit_C.jpg	2	0.390047	81.0935	133.8581	57.9884	39.4632	81.5599	36.4222	35.5198	25.5796	35.7596	43.7718	data normalized to color checker
562-3	562	2010_ca_11562_fruit_C.jpg	3	0.199937	98.7109	133.4708	51.1188	38.9979	81.1599	35.0223	39.2105	24.1624	31.6423	46.0574	data normalized to color checker
562-4	562	2010_ca_11562_fruit_C.jpg	4	0.729027	74.4852	136.3581	59.4543	38.1947	82.1416	37.0645	35.666	27.2195	37.3501	44.8661	data normalized to color checker
562-5	562	2010_ca_11562_fruit_C.jpg	5	0.099252	98.5185	128.2036	47.9647	37.3386	77.8946	33.5358	38.6815	23.0251	30.7632	45.0157	data normalized to color checker
563-1	563	2010_ca_11563_fruit_C.jpg	1	0.390216	85.6289	135.4272	55.9579	38.7427	81.96	36.2297	37.3266	25.877	34.7319	45.4191	data normalized to color checker
563-2	563	2010_ca_11563_fruit_C.jpg	2	0.457965	97.0048	131.4045	49.8911	38.5455	79.9699	34.439	38.9749	23.5858	31.1804	45.5558	data normalized to color checker
563-3	563	2010_ca_11563_fruit_C.jpg	3	0.148231	93.4718	130.6553	56.8095	42.9501	81.6871	35.682	35.1547	22.5463	32.6739	41.7635	data normalized to color checker
563-4	563	2010_ca_11563_fruit_C.jpg	4	1.17005	77.444	133.5667	57.5737	38.8251	81.1231	36.2638	35.593	25.7387	35.8722	43.9243	data normalized to color checker
563-5	563	2010_ca_11563_fruit_C.jpg	5	0.155938	91.9742	125.492	51.4756	38.3995	77.1179	33.7383	35.6737	22.5327	32.2779	42.1941	data normalized to color checker
564-1	564	2010_ca_11564_fruit_C.jpg	1	0.3896	62.7197	139.0026	63.7686	42.7765	85.54	38.3916	34.608	26.3967	37.334	43.5258	data normalized to color checker
564-2	564	2010_ca_11564_fruit_C.jpg	2	0.380107	91.7605	131.6945	52.7601	38.4927	80.0864	34.9892	37.5474	24.3167	32.9282	44.7337	data normalized to color checker
564-3	564	2010_ca_11564_fruit_C.jpg	3	0.264983	93.2424	137.7032	56.4687	41.2709	84.2197	36.7562	38.09	25.1783	33.4655	45.6596	data normalized to color checker
564-4	564	2010_ca_11564_fruit_C.jpg	4	0.497644	90.5256	133.1872	55.2739	40.3936	81.6791	35.7616	36.8519	24.2348	33.33	44.1066	data normalized to color checker
564-5	564	2010_ca_11564_fruit_C.jpg	5	0.566469	86.1055	128.1778	53.3739	38.009	78.2043	34.5127	35.6817	23.8231	33.7293	42.9037	data normalized to color checker
565-1	565	2010_ca_11565_fruit_C.jpg	1	0.0460969	95.8974	135.6283	48.2187	35.6745	80.6107	34.8494	41.3881	25.9475	32.0848	48.8492	data normalized to color checker
565-2	565	2010_ca_11565_fruit_C.jpg	2	0.365755	87.7355	142.3418	59.0707	43.3696	87.3918	38.0439	38.6923	25.7309	33.6244	46.4669	data normalized to color checker
565-3	565	2010_ca_11565_fruit_C.jpg	3	1.05114	90.5548	138.389	58.0742	41.9453	84.8615	37.1804	37.5322	25.3148	33.9989	45.2715	data normalized to color checker
565-4	565	2010_ca_11565_fruit_C.jpg	4	2.0477	63.4455	148.5347	74.8548	51.2374	94.0103	42.2879	32.7216	26.8348	39.355	42.318	data normalized to color checker
565-5	565	2010_ca_11565_fruit_C.jpg	5	0.208483	94.5992	132.6685	53.9081	41.0296	81.7386	35.445	37.4564	23.4173	32.0131	44.1741	data normalized to color checker
566-1	566	2010_ca_11566_fruit_C.jpg	1	0.26176	66.0855	150.3587	71.3535	47.7857	93.2438	41.7862	35.3634	28.3068	38.6757	45.2973	data normalized to color checker
566-2	566	2010_ca_11566_fruit_C.jpg	2	0.331607	64.5833	144.2244	67.531	45.2419	89.1596	40.0012	34.839	27.172	37.9518	44.1822	data normalized to color checker
566-3	566	2010_ca_11566_fruit_C.jpg	3	0.0907691	69.1248	137.6408	65.1791	45.1506	86.0179	38.5024	33.3668	25.0854	36.9361	41.7447	data normalized to color checker
566-4	566	2010_ca_11566_fruit_C.jpg	4	0.0514594	65.2442	140.556	63.7038	41.4218	85.6361	38.601	35.214	27.4432	37.9301	44.6448	data normalized to color checker
566-5	566	2010_ca_11566_fruit_C.jpg	5	13.3798	30.812	145.0904	84.0065	54.8007	94.0662	43.7866	26.0064	26.7172	45.7723	37.2846	data normalized to color checker
567-1	567	2010_ca_11567_fruit_C.jpg	1	0.444077	94.1558	136.6054	53.1016	39.2713	82.7624	35.8961	39.4189	25.1936	32.5837	46.7822	data normalized to color checker
567-2	567	2010_ca_11567_fruit_C.jpg	2	0.207394	96.1572	130.498	52.8153	41.1995	80.7944	34.8524	37.1769	22.5164	31.2015	43.4639	data normalized to color checker
567-3	567	2010_ca_11567_fruit_C.jpg	3	0.302092	73.1347	144.0742	67.6391	48.6213	90.6782	40.0167	34.9325	25.375	35.9948	43.176	data normalized to color checker
567-4	567	2010_ca_11567_fruit_C.jpg	4	0.0530074	95.4057	135.7364	53.1666	38.6823	82.0772	35.7509	39.01	25.3202	32.9864	46.507	data normalized to color checker
567-5	567	2010_ca_11567_fruit_C.jpg	5	0.353398	90.9113	139.9117	58.3998	41.3874	85.3139	37.488	37.9505	26.0914	34.5089	46.0543	data normalized to color checker
568-1	568	2010_ca_11568_fruit_C.jpg	1	1.05289	63.2774	139.2624	67.7297	45.3216	86.8627	39.2716	32.5613	26.0802	38.6932	41.7182	data normalized to color checker
568-2	568	2010_ca_11568_fruit_C.jpg	2	0.158174	92.0283	133.1615	52.6434	37.8606	80.4792	35.2421	38.1544	25.0476	33.2841	45.6414	data normalized to color checker
568-3	568	2010_ca_11568_fruit_C.jpg	3	0.242055	77.8262	139.7929	61.4597	41.4182	85.2756	38.0272	36.215	26.7301	36.4309	45.0114	data normalized to color checker
568-4	568	2010_ca_11568_fruit_C.jpg	4	0.474104	80.2051	134.5918	60.9047	42.7842	83.4696	37.1329	34.3999	24.6114	35.5818	42.2974	data normalized to color checker
568-5	568	2010_ca_11568_fruit_C.jpg	5	33.5361	3.87511	139.0828	90.8348	55.8456	91.731	44.6132	19.0393	27.0201	54.8301	33.0542	data normalized to color checker
569-1	569	2010_ca_11569_fruit_C.jpg	1	0.439697	95.9462	129.2874	49.749	37.6774	78.5688	34.0714	38.1069	23.5695	31.7372	44.8069	data normalized to color checker
569-2	569	2010_ca_11569_fruit_C.jpg	2	0.395435	96.7605	133.0244	47.8475	36.2971	79.6755	34.3963	40.5217	24.9439	31.6151	47.5837	data normalized to color checker
569-3	569	2010_ca_11569_fruit_C.jpg	3	0.669589	87.465	133.8999	56.2218	38.7684	81.2519	36.043	36.5506	25.5231	34.9264	44.5799	data normalized to color checker
569-4	569	2010_ca_11569_fruit_C.jpg	4	1.06014	89.2777	136.5722	52.0243	36.473	81.4311	35.7285	39.706	26.5973	33.8164	47.7911	data normalized to color checker
569-5	569	2010_ca_11569_fruit_C.jpg	5	0.611883	91.7435	131.4778	52.9025	37.1307	79.3439	34.9925	37.2806	25.0798	33.9299	44.9315	data normalized to color checker
570-1	570	2010_ca_11570_fruit_C.jpg	1	0.150745	97.533	134.0899	50.247	38.0472	81.0025	34.9607	39.8375	24.6308	31.7277	46.837	data normalized to color checker
570-2	570	2010_ca_11570_fruit_C.jpg	2	0.400196	97.0049	136.9444	47.5255	35.786	81.2832	34.9751	42.2483	26.1169	31.7234	49.669	data normalized to color checker
