	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	  Lobedness Degree	  Pericarp Area	  Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095	SP:0000372	
575-4	575	2010_ca_11575_fruit_C.jpg	4	1.9073	0.4484	0.25	
575-5	575	2010_ca_11575_fruit_C.jpg	5	1.7385	0.4474	0.25	
576-1	576	2010_ca_11576_fruit_C.jpg	1	0.9337	0.4441	0.2535	
576-2	576	2010_ca_11576_fruit_C.jpg	2	1.4705	0.4444	0.2485	
576-3	576	2010_ca_11576_fruit_C.jpg	3	1.2552	0.4451	0.254	
576-4	576	2010_ca_11576_fruit_C.jpg	4	1.9496	0.4449	0.2508	
576-5	576	2010_ca_11576_fruit_C.jpg	5	3.2076	0.4431	0.2518	
577-1	577	2010_ca_11577_fruit_C.jpg	1	1.0426	0.4436	0.2519	
577-2	577	2010_ca_11577_fruit_C.jpg	2	0.9494	0.445	0.2546	
577-3	577	2010_ca_11577_fruit_C.jpg	3	1.096	0.4448	0.2492	
577-4	577	2010_ca_11577_fruit_C.jpg	4	1.1642	0.4438	0.254	
577-5	577	2010_ca_11577_fruit_C.jpg	5	1.4145	0.4441	0.2507	
578-1	578	2010_ca_11578_fruit_C.jpg	1	1.2362	0.444	0.2534	
578-2	578	2010_ca_11578_fruit_C.jpg	2	0.8202	0.4449	0.2531	
578-3	578	2010_ca_11578_fruit_C.jpg	3	2.1727	0.4449	0.2524	
578-4	578	2010_ca_11578_fruit_C.jpg	4	0.8668	0.4467	0.2556	
578-5	578	2010_ca_11578_fruit_C.jpg	5	1.6547	0.4453	0.2534	
579-1	579	2010_ca_11579_fruit_C.jpg	1	1.1979	0.445	0.2524	
579-2	579	2010_ca_11579_fruit_C.jpg	2	1.3712	0.4433	0.2506	
579-3	579	2010_ca_11579_fruit_C.jpg	3	1.1608	0.4447	0.2539	
579-4	579	2010_ca_11579_fruit_C.jpg	4	1.1884	0.4441	0.2521	
579-5	579	2010_ca_11579_fruit_C.jpg	5	1.8294	0.4443	0.248	
580-1	580	2010_ca_11580_fruit_C.jpg	1	2.2773	0.4451	0.2525	
580-2	580	2010_ca_11580_fruit_C.jpg	2	0.7774	0.4445	0.2545	
580-3	580	2010_ca_11580_fruit_C.jpg	3	2.8726	0.4452	0.2525	
580-4	580	2010_ca_11580_fruit_C.jpg	4	1.6773	0.4458	0.2456	
580-5	580	2010_ca_11580_fruit_C.jpg	5	0.927	0.4447	0.2556	
581-1	581	2010_ca_11581_fruit_C.jpg	1	1.5295	0.4443	0.2515	
581-2	581	2010_ca_11581_fruit_C.jpg	2	2.1946	0.4451	0.2526	
581-3	581	2010_ca_11581_fruit_C.jpg	3	1.4486	0.4438	0.2514	
581-4	581	2010_ca_11581_fruit_C.jpg	4	1.4361	0.4443	0.2429	
581-5	581	2010_ca_11581_fruit_C.jpg	5	1.7773	0.4452	0.2526	
582-1	582	2010_ca_11582_fruit_C.jpg	1	1.7348	0.4445	0.2536	
582-2	582	2010_ca_11582_fruit_C.jpg	2	1.7477	0.4445	0.25	
582-3	582	2010_ca_11582_fruit_C.jpg	3	1.495	0.4438	0.2493	
582-4	582	2010_ca_11582_fruit_C.jpg	4	1.9814	0.4454	0.2525	
582-5	582	2010_ca_11582_fruit_C.jpg	5	1.5113	0.4443	0.25	
583-1	583	2010_ca_11583_fruit_C.jpg	1	2.652	0.4446	0.2508	
583-2	583	2010_ca_11583_fruit_C.jpg	2	0.4839	0.4454	0.2526	
583-3	583	2010_ca_11583_fruit_C.jpg	3	1.3461	0.4448	0.2551	
583-4	583	2010_ca_11583_fruit_C.jpg	4	1.572	0.4444	0.2493	
583-5	583	2010_ca_11583_fruit_C.jpg	5	0.8601	0.4439	0.252	
584-1	584	2010_ca_11584_fruit_C.jpg	1	1.3925	0.4452	0.2548	
584-2	584	2010_ca_11584_fruit_C.jpg	2	1.3406	0.4443	0.2478	
584-3	584	2010_ca_11584_fruit_C.jpg	3	1.762	0.4449	0.2523	
584-4	584	2010_ca_11584_fruit_C.jpg	4	1.1015	0.4436	0.2527	
584-5	584	2010_ca_11584_fruit_C.jpg	5	2.1629	0.4436	0.2513	
585-1	585	2010_ca_11585_fruit_C.jpg	1	1.7824	0.4451	0.2524	
585-2	585	2010_ca_11585_fruit_C.jpg	2	1.6809	0.4447	0.2453	
585-3	585	2010_ca_11585_fruit_C.jpg	3	1.5261	0.4445	0.2523	
