	Tomato Analyzer - Color Data														
	Plot #	Plot File Name	Fruit	Parameter 1 (% surface w/ Hue 70-100)	Parameter 2 (% surface w/ Hue 0-50)	Avg.Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	Avg. Hue	Avg. Chroma	comment
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
8506-6	8506	2009_oh_8506_fruit-c.jpg	6	2.77473	62.272	144.854	71.6774	47.5676	90.5084	39.2085	26.0473	30.1786	49.5015	40.3531	color data not normalized to color checker
8506-7	8506	2009_oh_8506_fruit-c.jpg	7	1.81413	61.3632	137.211	67.7849	44.899	85.6979	37.1547	24.9404	28.9172	48.9501	38.5145	color data not normalized to color checker
8506-8	8506	2009_oh_8506_fruit-c.jpg	8	1.85679	61.825	143.88	70.1054	45.8469	89.2822	38.7372	26.4015	30.5116	48.8377	40.6857	color data not normalized to color checker
8506-9	8506	2009_oh_8506_fruit-c.jpg	9	4.73899	46.8367	132.59	68.9839	44.0132	83.0884	36.7131	22.3269	28.6881	52.4148	36.835	color data not normalized to color checker
8507-1	8507	2009_oh_8507_fruit-c.jpg	1	1.02282	36.84	147.556	77.5845	51.6153	93.6867	40.9554	24.2397	30.2754	51.8053	39.0408	color data not normalized to color checker
8507-2	8507	2009_oh_8507_fruit-c.jpg	2	0.965251	80.7679	126.863	62.8773	46.9999	81.7574	34.4392	23.6687	24.1671	46.2439	34.1005	color data not normalized to color checker
8507-3	8507	2009_oh_8507_fruit-c.jpg	3	1.71521	57.5334	142.54	73.694	51.1744	91.1431	39.3769	24.2958	28.3148	49.346	37.6139	color data not normalized to color checker
8507-4	8507	2009_oh_8507_fruit-c.jpg	4	0.961818	51.7806	143.76	72.7248	47.4815	89.9876	39.2913	25.0477	30.2629	50.1716	39.5603	color data not normalized to color checker
8507-5	8507	2009_oh_8507_fruit-c.jpg	5	1.95973	64.3453	134.51	67.8294	47.6553	85.664	36.7952	24.0559	26.8933	48.6482	36.4433	color data not normalized to color checker
8507-6	8507	2009_oh_8507_fruit-c.jpg	6	1.65358	39.0058	137.818	73.6256	49.4276	88.1076	38.6183	22.2733	28.2108	51.5722	36.1774	color data not normalized to color checker
8507-7	8507	2009_oh_8507_fruit-c.jpg	7	1.16056	65.5263	131.82	67.6346	48.1802	84.6846	36.2848	23.0853	25.8715	48.2437	34.8967	color data not normalized to color checker
8507-8	8507	2009_oh_8507_fruit-c.jpg	8	0.948676	68.9922	129.169	65.4709	46.958	82.8508	35.3598	23.1219	25.3638	47.7346	34.5738	color data not normalized to color checker
8507-9	8507	2009_oh_8507_fruit-c.jpg	9	2.30888	45.1116	138.693	71.4381	47.3432	87.5348	38.2282	23.6885	28.9557	50.5415	37.7794	color data not normalized to color checker
8508-1	8508	2009_oh_8508_fruit-c.jpg	1	1.69136	68.4155	143.499	70.3488	48.7397	90.384	38.7566	26.3247	28.9543	48.9559	39.5721	color data not normalized to color checker
8508-2	8508	2009_oh_8508_fruit-c.jpg	2	1.3315	83.6482	134.22	64.9097	47.8405	85.6295	36.0898	25.5314	25.8725	45.6237	36.6399	color data not normalized to color checker
8508-3	8508	2009_oh_8508_fruit-c.jpg	3	1.4833	73.775	135.931	66.8118	47.5157	86.3001	36.7903	25.1128	26.9455	46.9819	37.1665	color data not normalized to color checker
8508-4	8508	2009_oh_8508_fruit-c.jpg	4	0.875493	75.601	142.512	67.3254	46.6263	88.9848	37.9274	27.3964	29.0805	46.8067	40.2271	color data not normalized to color checker
8508-5	8508	2009_oh_8508_fruit-c.jpg	5	1.57767	75.2407	139.3	66.5715	47.0157	87.6652	37.2597	26.5349	27.92	46.3997	38.8618	color data not normalized to color checker
8508-6	8508	2009_oh_8508_fruit-c.jpg	6	1.16128	77.1503	138.011	66.6175	46.5967	86.836	37.0703	26.0537	27.9196	47.5628	38.4525	color data not normalized to color checker
8508-7	8508	2009_oh_8508_fruit-c.jpg	7	0.6681	77.248	139.388	66.7232	47.7629	88.0115	37.2818	26.5875	27.6126	46.6199	38.6523	color data not normalized to color checker
8508-8	8508	2009_oh_8508_fruit-c.jpg	8	1.67595	72.8665	136.094	65.2051	45.5241	85.4391	36.4515	25.9352	27.6493	46.8924	38.2812	color data not normalized to color checker
8508-9	8508	2009_oh_8508_fruit-c.jpg	9	1.41363	82.4176	141.904	64.9146	46.5962	88.665	37.3418	28.4388	28.4377	45.1392	40.5935	color data not normalized to color checker
8509-1	8509	2009_oh_8509_fruit-c.jpg	1	3.82291	55.0307	153.379	86.7088	64.8184	102.637	44.0933	22.4841	26.8516	50.3967	35.5886	color data not normalized to color checker
8509-2	8509	2009_oh_8509_fruit-c.jpg	2	1.88863	68.4896	148.471	75.5771	56.0024	96.1772	40.7933	25.9014	27.4853	47.4532	38.2566	color data not normalized to color checker
8509-3	8509	2009_oh_8509_fruit-c.jpg	3	5.46089	38.2922	149.053	88.0118	64.7649	100.608	43.8069	19.9126	26.3268	52.828	33.6013	color data not normalized to color checker
8509-4	8509	2009_oh_8509_fruit-c.jpg	4	4.35272	38.8424	155.446	86.9943	59.4031	101.085	44.4322	22.6801	30.2725	53.059	38.4024	color data not normalized to color checker
8509-5	8509	2009_oh_8509_fruit-c.jpg	5	1.12832	76.8796	146.111	74.6777	56.4286	95.2782	40.2111	25.527	26.4178	46.0093	37.1257	color data not normalized to color checker
8509-6	8509	2009_oh_8509_fruit-c.jpg	6	5.06632	50.8995	151.534	83.797	58.3446	98.7422	43.0622	22.8163	29.0759	51.5289	37.5926	color data not normalized to color checker
8509-7	8509	2009_oh_8509_fruit-c.jpg	7	7.83727	47.8147	148.641	83.4545	58.3277	97.382	42.6217	21.8028	28.4322	52.1915	36.5146	color data not normalized to color checker
8509-8	8509	2009_oh_8509_fruit-c.jpg	8	9.24717	41.0164	151.425	87.1874	60.5936	99.764	43.9446	21.0112	28.8264	53.2923	36.5458	color data not normalized to color checker
8509-9	8509	2009_oh_8509_fruit-c.jpg	9	1.35934	40.5817	143.942	78.7281	54.8009	93.5115	40.7848	22.3133	27.9965	50.9768	36.2697	color data not normalized to color checker
8510-1	8510	2009_oh_8510_fruit-c.jpg	1	3.45124	41.3647	144.361	76.6938	48.7913	90.852	40.2869	23.1874	30.7359	53.2545	38.9838	color data not normalized to color checker
8510-2	8510	2009_oh_8510_fruit-c.jpg	2	23.8438	23.1358	147.304	86.9587	47.0916	91.4505	43.1462	18.5764	34.7658	61.5723	40.5585	color data not normalized to color checker
8510-3	8510	2009_oh_8510_fruit-c.jpg	3	3.3436	58.2106	152.784	82.069	58.6724	99.4112	42.8755	24.3684	28.8774	51.266	38.3577	color data not normalized to color checker
8510-4	8510	2009_oh_8510_fruit-c.jpg	4	19.9038	31.8136	144.691	82.6555	46.6553	90.0415	41.762	19.8022	33.3731	58.167	39.9464	color data not normalized to color checker
8510-5	8510	2009_oh_8510_fruit-c.jpg	5	19.2414	33.1595	143.433	81.5045	45.9793	89.1068	41.2812	19.9502	33.0446	58.2454	39.633	color data not normalized to color checker
8510-6	8510	2009_oh_8510_fruit-c.jpg	6	23.0816	25.8271	146.587	86.4867	48.4454	91.7489	42.8913	18.6488	33.7357	60.3254	39.6717	color data not normalized to color checker
8510-7	8510	2009_oh_8510_fruit-c.jpg	7	3.67239	61.3671	144.986	75.1439	52.2011	92.7493	40.104	24.5114	28.7169	50.1755	38.2737	color data not normalized to color checker
8510-8	8510	2009_oh_8510_fruit-c.jpg	8	2.3389	72.6868	139.542	68.727	48.0819	88.2485	37.7848	25.5961	28.0115	47.9155	38.3459	color data not normalized to color checker
8510-9	8510	2009_oh_8510_fruit-c.jpg	9	5.98846	50.9383	143.937	76.9133	50.5716	91.4966	40.2233	23.053	29.7879	52.5159	38.2003	color data not normalized to color checker
8511-1	8511	2009_oh_8511_fruit-c.jpg	1	0.809036	94.0474	138.541	64.6088	50.6594	88.9533	36.7832	27.6424	25.3215	43.6369	37.739	color data not normalized to color checker
8511-2	8511	2009_oh_8511_fruit-c.jpg	2	0.665873	95.707	139.824	64.3555	52.5665	90.4366	36.966	28.3914	24.5018	41.5825	37.7365	color data not normalized to color checker
8511-3	8511	2009_oh_8511_fruit-c.jpg	3	1.56778	73.4604	135.206	67.0006	47.6311	86.0244	36.7159	24.7816	26.7616	47.0568	36.7831	color data not normalized to color checker
8511-4	8511	2009_oh_8511_fruit-c.jpg	4	1.7676	72.5435	145.868	72.6019	50.7534	92.5133	39.6368	26.1658	28.9836	47.9494	39.3399	color data not normalized to color checker
8511-5	8511	2009_oh_8511_fruit-c.jpg	5	1.1524	88.1251	132.479	63.2781	47.177	84.5109	35.4712	25.7064	25.445	45.0532	36.4391	color data not normalized to color checker
8511-6	8511	2009_oh_8511_fruit-c.jpg	6	0.899134	76.5939	143.407	69.9562	49.9685	90.9695	38.6575	26.5965	28.1588	46.7901	38.9747	color data not normalized to color checker
8511-7	8511	2009_oh_8511_fruit-c.jpg	7	0.893575	63.8862	138.891	69.2108	48.6473	88.2356	37.7707	25.104	27.6437	47.5502	37.5866	color data not normalized to color checker
8511-8	8511	2009_oh_8511_fruit-c.jpg	8	0.727942	84.3409	144.885	71.1874	53.3133	93.225	39.1889	26.7435	26.9796	45.5734	38.225	color data not normalized to color checker
8511-9	8511	2009_oh_8511_fruit-c.jpg	9	0.652325	66.1161	140.783	72.0728	51.9997	90.6991	38.7437	24.5493	26.9841	47.5224	36.7095	color data not normalized to color checker
8512-1	8512	2009_oh_8512_fruit-c.jpg	1	0.43728	88.2106	149.201	71.5928	53.483	95.3425	39.9872	28.2162	27.9942	45.2037	39.9551	color data not normalized to color checker
8512-2	8512	2009_oh_8512_fruit-c.jpg	2	2.27861	71.5123	144.153	75.3405	57.0579	94.6222	40.075	24.4491	25.94	47.3046	36.1441	color data not normalized to color checker
8512-3	8512	2009_oh_8512_fruit-c.jpg	3	1.29456	77.9664	147.721	73.2299	54.6914	95.1949	40.0897	26.8601	27.4729	46.2	38.7664	color data not normalized to color checker
8512-4	8512	2009_oh_8512_fruit-c.jpg	4	0.620072	93.6093	141.709	64.4374	49.2182	89.7962	37.2469	28.8214	26.7774	43.2941	39.5674	color data not normalized to color checker
8512-5	8512	2009_oh_8512_fruit-c.jpg	5	0.552754	91.7329	141.501	66.4664	49.8788	90.0348	37.6242	27.7033	26.8554	44.145	38.7734	color data not normalized to color checker
8512-6	8512	2009_oh_8512_fruit-c.jpg	6	0.667441	79.1062	146.678	70.7555	52.4927	93.6818	39.3878	27.6009	27.7531	45.5649	39.4045	color data not normalized to color checker
8512-7	8512	2009_oh_8512_fruit-c.jpg	7	0.894372	90.3508	149.693	73.0016	57.2305	97.314	40.3855	27.9477	26.5004	44.3258	38.785	color data not normalized to color checker
