plot_name	accession_name	plot_number	block_number	is_a_control	rep_number	Brix|SP:0000165	PH|SP:0000170	titratable acids (g citric acid /100 ml)|SP:0000345	days to Maturity|SP:0000366						
2010_vintage_Fremont_OH_8990_2	Marglobe	8990	2		2	5.3	4.25	0.41088	168						
2010_vintage_Fremont_OH_8991_2	Marveille des Marches	8991	2		2	7	4.13	0.864	160						
2010_vintage_Fremont_OH_8992_2	Moneymaker	8992	2		2	7	4.32	0.4992	160						
2010_vintage_Fremont_OH_8993_2	PARAGON	8993	2		2	5.8	3.88	0.5984	153						
2010_vintage_Fremont_OH_8994_2	Howard German	8994	2		2	6.3	4.09	0.45824	153						
2010_vintage_Fremont_OH_8995_2	Ponderosa	8995	2		2	7.3	3.91	0.67456	146						
2010_vintage_Fremont_OH_8996_2	Principe Borghese	8996	2		2	5.4	3.77	0.50432	146						
2010_vintage_Fremont_OH_8997_2	RomaVF	8997	2		2	5.3	3.91	0.47168	146						
2010_vintage_Fremont_OH_8998_2	San Marzano	8998	2		2	5.9	3.92	0.4896	146						
2010_vintage_Fremont_OH_8999_2	VFNT Cherry	8999	2		2	6	3.94	0.53376	153						
2010_vintage_Fremont_OH_9000_2	White Queen	9000	2		2	6.4	4.21	0.61696	153						
2010_vintage_Fremont_OH_9001_2	Yellow Pear	9001	2		2	9.7	4.27	0.63744	160						
2010_vintage_Fremont_OH_9002_2	Yellow Stuffer	9002	2		2	5.5	4.46	0.32896	160						
2010_vintage_Fremont_OH_9003_2	Aker's West Virginia	9003	2		2	7.3	4.49	0.55424	168						
2010_vintage_Fremont_OH_9004_2	Black From Tula	9004	2		2	5.8	4.4	0.48	168						
2010_vintage_Fremont_OH_9005_2	Burbank	9005	2		2	5.9	4.33	0.55872	168						
2010_vintage_Fremont_OH_9006_2	Peron	9006	2		2	6	4.39	0.56576	168						
2010_vintage_Fremont_OH_9007_2	Cherokee Purple	9007	2		2	6.7	4.5	0.43456	160						
2010_vintage_Fremont_OH_9008_2	Oxheart	9008	2		2	7.8	4.59	0.47552	160						
2010_vintage_Fremont_OH_9009_2	Rutgers	9009	2		2	5.8	4.48	0.48192	153						
2010_vintage_Fremont_OH_9010_2	Amish Paste	9010	2		2	7.2	4.5	0.51968	153						
2010_vintage_Fremont_OH_9011_2	Opalka	9011	2		2	6.8	4.62	0.40192	146						
2010_vintage_Fremont_OH_9012_2	Brandywine (Sudduth/Quisenberry)	9012	2		2	6.8	4.35	0.62912	146						
2010_vintage_Fremont_OH_9013_2	Juane Flammee	9013	2		2	6.4	4.13	0.56768	146						
2010_vintage_Fremont_OH_9014_2	Costoluto Genovese	9014	2		2	6	4.48	0.44224	160						
2010_vintage_Fremont_OH_9015_2	D' Olvia x Industria	9015	2		2	6.3	4.25	0.59968	153						
2010_vintage_Fremont_OH_9016_2	Orange Strawberry	9016	2		2	7.2	4.28	0.62208	153						
2010_vintage_Fremont_OH_9017_2	Sponzillo	9017	2		2	8.3	4.3	0.55744	160						
2010_vintage_Fremont_OH_9018_2	T1003	9018	2		2	5.5	4.37	0.4864	160						
2010_vintage_Fremont_OH_9019_2	T1693	9019	2		2	4.5	4.35	0.3968	168						
2010_vintage_Fremont_OH_9020_2	T1697	9020	2		2	5.7	4.35	0.5504	168						
2010_vintage_Fremont_OH_9021_2	Tres Cantos	9021	2		2	5.2	4.38	0.4032	168						
