Plot	SCT#	Year	Location	Location2	Replicate	Donor number/Variety Name:		
9027	SCT_0360	2010	Fremont	Ohio	2	Rinon PI118783		
9028	SCT_0332	2010	Fremont	Ohio	2	Abel		
9029	SCT_0341	2010	Fremont	Ohio	2	PI124035		
9030	SCT_0342	2010	Fremont	Ohio	2	PI124037		
9031	SCT_0362	2010	Fremont	Ohio	2	Rumi Banjan		
9032	SCT_0343	2010	Fremont	Ohio	2	PI127820		
9033	SCT_0344	2010	Fremont	Ohio	2	PI128586		
9034	SCT_0345	2010	Fremont	Ohio	2	PI128592		
9035	SCT_0346	2010	Fremont	Ohio	2	PI129026		
9036	SCT_0347	2010	Fremont	Ohio	2	PI129033		
9037	SCT_0348	2010	Fremont	Ohio	2	PI129084		
9038	SCT_0349	2010	Fremont	Ohio	2	PI129128		
9039	SCT_0350	2010	Fremont	Ohio	2	PI129142		
9040	SCT_0351	2010	Fremont	Ohio	2	PI155372		
9041	SCT_0358	2010	Fremont	Ohio	2	Prospero		
9042	SCT_0333	2010	Fremont	Ohio	2	Chih-mu-tao-se		
9043	SCT_0352	2010	Fremont	Ohio	2	PI159009		
9044	SCT_0353	2010	Fremont	Ohio	2	PI196297		
9045	SCT_0366	2010	Fremont	Ohio	2	Turrialba		
9046	SCT_0339	2010	Fremont	Ohio	2	LA0410		
9047	SCT_0334	2010	Fremont	Ohio	2	Cotaxtla I		
9048	SCT_0355	2010	Fremont	Ohio	2	PI270430		
9049	SCT_0356	2010	Fremont	Ohio	2	PI272703		
9050	SCT_0338	2010	Fremont	Ohio	2	Kiyosu No. 2		
9051	SCT_0337	2010	Fremont	Ohio	2	Hong Kong		
9052	SCT_0335	2010	Fremont	Ohio	2	Devon Surprise		
9053	SCT_0336	2010	Fremont	Ohio	2	Heinz 1370		
9054	SCT_0368	2010	Fremont	Ohio	2	W-C 1537		
9055	SCT_0330	2010	Fremont	Ohio	2	A-1770		
9056	SCT_0331	2010	Fremont	Ohio	2	A-1771		
9057	SCT_0329	2010	Fremont	Ohio	2	1091-Chonto 21 (mataverde (3-21-2)		
9058	SCT_0340	2010	Fremont	Ohio	2	Peto 460		
9059	SCT_0361	2010	Fremont	Ohio	2	Rosa o Monserrat		
9060	SCT_0365	2010	Fremont	Ohio	2	Tomate del lugar		
9061	SCT_0357	2010	Fremont	Ohio	2	Pomodoro Superselezione di Marmande		
9062	SCT_0354	2010	Fremont	Ohio	2	PI270408		
9063	SCT_0367	2010	Fremont	Ohio	2	W-C 1050		
9064	SCT_0369	2010	Fremont	Ohio	2	Zhongza No. 4		
9065	SCT_0301	2010	Fremont	Ohio	1	King Humbert		
9066	SCT_0316	2010	Fremont	Ohio	2	Stupice		
9067	SCT_0301	2010	Fremont	Ohio	1	King Humbert		
9068	SCT_0316	2010	Fremont	Ohio	2	Stupice		
