	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	Date data gathered	Sugar Analysis-Glucose	Sugar Analysis-Sucrose	photovolt reflectance		USDA		% Sugar
	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix	mm/yyyy	%FW	%FW	mm/yyyy	%FW	%FW	bud	stem	color	mottling	End
accession	line	plot	replicate	date	flower_color	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	SP:0000198|unit:kg	SP:0000218|unit:	tuber_picture	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	date1	SP:0000215|unit:milligram	SP:0000214|unit:milligram	date2	SP:0000215|unit:%FW	SP:0000214|unit:%FW					
A05141-52|87	A05141-52	65-15	1	2009/09/23	W	6	2	3	8.5	1.085	A05141-52 Tuber.JPG	5	4	1	5	14.3	6	5.4	5	7	7	2009/10/07	0.025	0.092	2010/02/09	0.04	0.082	49.3	54.9	1	1	20
A05141-53|89	A05141-53	64-16	1	2009/09/23	W	8	7	5	6.7	1.083	A05141-53 Tuber.JPG	5	4	1	4	6.6	4.9	4.5	7	9	5	2009/10/07	0.022	0.167	2010/02/09	0.015	0.057	52	55.4	1	1.2	20
A05141-54|91	A05141-54	64-18	1	2009/09/23	W	8	7	7	6	1.076	A05141-54 Tuber.JPG	5	4	1	4	7.9	5.5	5.3	9	7	3	2009/10/07	0.015	0.108	2010/02/09	0.084	0.063	43.3	53.5	1	1.4	0
A05141-55|93	A05141-55	65-18	1	2009/09/23	MRP^	4	2	3	7.6	1.084	A05141-55 Tuber.JPG	6	3	1	5	15.5	6.6	6.1	7	7	5	2009/10/07	0.03	0.158	2010/02/09	0.071	0.113	44.5	42	2	1.2	20
A05141-58|95	A05141-58	62-26	1	2009/09/23	MRP	4	1	5	6.6	1.1	A05141-58 Tuber.JPG	4	6	1	5	9.6	5.2	4.7	5	3	5	2009/10/07	0.016	0.147	2010/02/09	0.036	0.101	51.3	53.2	1	1.2	20
A05141-59|97	A05141-59	65-24	1	2009/09/23	MRP^	4	1	3	3	1.095	A05141-59 Tuber.JPG	4	5	1	4	8	4.8	4.3	7	3	5	2009/10/07	0.044	0.1	2010/02/09	0.082	0.07	43.9	49.2	1	1.4	40
A05141-6|9	A05141-6	63-11	1	2009/09/23	MRP^	8	8	7	10.5	1.082	A05141-6 Tuber.JPG	4	6	1	5	12.1	5.7	5.3	3	5	5	2009/10/07	0.052	0.134	2010/02/09	0.106	0.112	41.4	40.9	2	2.8	20
A05141-60|99	A05141-60	62-05	1	2009/09/23	MRP^	8	7	3	9.2	1.08	A05141-60 Tuber.JPG	5	4	1	5	14	6.2	5.6	5	9	5	2009/10/07	0.055	0.104	2010/02/09	0.091	0.06	53.9	48.5	1	1.6	60
A05141-61|101	A05141-61	64-22	1	2009/09/23	MRP	2	1	7	1.8	1.079	A05141-61 Tuber.JPG	5	4	1	5	5.6	4.2	3.8	9	3	5	2009/10/07	0.096	0.081	2010/02/09	0.185	0.069	34.6	27.5	3	2.2	80
A05141-62|103	A05141-62	65-07	1	2009/09/23	LRP	7	3	3	2.7	1.092	A05141-62 Tuber.JPG	5	4	1	5	10	4.6	4.1	3	3	3	2009/10/07	0.056	0.104	2010/02/09	0.129	0.094	46.1	57	1	1.4	20
